# algorithm: RVEA
# population_size: 100
# num_evaluations: 10000
# run_idx: 3
# problem_name: 15-areas_hor=1_ver=2
# variant: CV
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.2951671551003517,4.499406953014533,-0.9323811122560246,0.6413689951541641,2.6006366330026864,-1.4740280997804125,1573.796127995911,511.2659484836881,0.9119236770924034,0.7108686857260232,0.3038316976171678,0.6451524436037225,0.250001844087065,0.6541501924773943,0.6014414068135268,0.6144858699186732,0.2950766688000049,0.0854561574043882,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,1.0588235294117647,0.314
2,0.6336655637875748,2.29927250604662,0.1660161227915282,0.1963805767001368,1.2068258306165298,0.7089620326857213,2782.21516544009,1208.1475455256486,0.8509714170415017,0.5435943265958227,0.0897908695230648,0.4888732446161128,0.9279363475621256,0.7876181995034763,0.4850942260540881,0.4552793614808863,0.3434891773905471,0.1826414087856405,0.0,1.0,1.0,0.0,0.188901995286093,0.0,0.2149410222804718,0.0,0.0,0.0,0.0,6.0,0.4943437069156803,0.0,1.0588235294117647,0.314
3,0.1618645803695411,3.958281508860323,0.9879979081426952,0.2625728891732237,3.5191710507771456,0.0565718940219976,-267.25787459134386,1208.473341031328,0.3700510403578021,0.5678431742099227,0.0231352620775521,0.5198405351160327,0.4432419918186683,0.8774237126929983,0.0676214907178149,0.882399329762052,0.0169502772475971,0.0361924055051595,0.0,0.0,0.0,0.0,0.3855603904196468,0.0,0.1502029769959404,0.0,0.0,0.0,0.0,6.0,0.38445666867150513,0.0,1.0588235294117647,0.314
4,0.1742234922227989,2.160449980018042,1.4536816392216196,0.6386481260192106,4.410475886590258,-0.3717273186203882,2576.2019284409325,62.3819152714309,0.281750446177025,0.5369073390009684,0.1723014157615939,0.879946285261388,0.2480547256670797,0.4845283501053068,0.9334017377971604,0.3672412091062069,0.5,0.0404342246098468,0.0,0.0,0.3676208431045975,0.0,0.0770836973696308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026159090616131073,0.0,1.026159090616131,0.325
5,0.4569830826858219,4.510448355637279,0.5784175358481449,0.3556516703435077,0.6226520850020091,0.5679571268854802,850.1250615224612,597.4472085599106,0.1249951765383314,0.14602124060028,0.4238390355256305,0.669378835226351,0.1174646797735405,0.7744471841378765,0.8513640788626323,0.6726228796318717,0.3072178028540536,0.0047883207109101,0.0,0.0,0.0074389729635169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043758664491275884,0.0,1.0004375866449127,0.333
6,0.6000122176580134,5.508214096398151,0.9525450833576694,0.4019707513207053,0.8494373502961708,-0.7345310760120574,-744.0485958495032,730.1048720238884,0.0855124012804938,0.1792885769734378,0.2449765275825619,0.4061024823971141,0.6867999479590607,0.4444675644663958,0.503770565860274,0.0932077972765708,0.3018296517478869,0.0015574760629988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333
7,0.3029459471766398,1.2190919026240818,1.4713857413464808,0.0794502972934489,4.935394677176603,1.4051807490629558,2481.308310351332,611.6646903531802,0.3689534749824007,0.2955250940382804,0.0670960513469348,0.3788741936987722,0.5029234253135813,0.2488059170310387,0.9696163713434106,0.99854660751181,0.3246799919241704,0.003557413597295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.4117647058823529,0.0,1.0,0.333
8,0.381067030070468,2.659956689734109,-0.2693549943991522,0.7646616511114167,4.635677026709794,-0.2439588561718566,791.879637847838,-126.30910034823644,0.2538037741608531,0.075525755066592,0.3325955384319174,0.1893913807014705,0.645806511768989,0.7462677238196291,0.4885125354797481,0.482538131776793,0.4283695813793471,0.00078671131748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333
9,0.1927469677198202,4.562648072396132,0.1381608157571672,0.5349253345352815,2.918771924000597,-1.5497658195059991,1016.1236109501,1248.4076618895403,0.8202912054119473,0.5728607109397055,0.196462960695279,0.920469424509354,0.4241472474044634,0.6193272730794828,0.2031076567411752,0.3280657438021117,0.1469234711196881,0.0018273554879504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030500836854735,0.0,0.0,0.0,6.0,0.35473534334439616,0.0,1.0,0.333
10,0.7612485219296656,2.28809743144767,-1.1810639713682842,0.2031321195689552,0.904190391848116,1.2492930850639472,455.6666528552255,96.79365810058351,0.6550774804664746,0.3007781890211454,0.8038311941461153,0.6868622164641778,0.5894684739604986,0.476408325955449,0.3764662411477231,0.4409755745740921,0.2272749508148185,0.0216642194084265,0.0,0.0,0.2166846178111856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012746153988893269,0.0,1.0,0.333
11,0.7011857675946007,1.4510681668271823,-1.0138689024615952,0.089663495657257,0.0490752720420103,-0.396655741497375,-562.2099167124959,173.56247099229984,0.8752447721738432,0.7005219766208027,0.4189279337419974,0.0214713915792322,0.0488526671581731,0.9926688244473836,0.4395813683359226,0.5934883526686083,0.5,0.0594325013707186,0.0,0.0,0.0,0.0,0.6443487184693504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03790286579231473,0.0,1.0,0.333
12,0.9323904036222126,0.1189051427546875,1.0206906636396709,0.0185391837682787,1.086785011174069,-1.527328992018204,1542.2283085806985,280.5569636482249,0.3183485917500186,0.9743914019097109,0.5780475684256953,0.9263432508150476,0.8889595914459145,0.3395671228860407,0.6535457469448827,0.195053752259671,0.4723812386728723,0.0039074470890569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.4117647058823529,0.0,1.0,0.333
13,0.5110024199996585,1.349793491522011,0.0868672170325708,0.3737702732413233,6.090496179696844,-1.0111985903582426,2053.2860582450194,589.1901953622996,0.1235594231948071,0.6965362585355716,0.5797780687880169,0.4348930621653385,0.9528439748624248,0.1090103656910812,0.6308399420166169,0.2916155869716434,0.2922088393951587,0.0989819681267176,0.0,0.0975373528006795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06456102075298115,0.0,1.0,0.333
14,0.5104728395845122,1.85621800517094,-0.4976962783781538,0.3218390502220151,5.243551770382794,-1.0194448922489143,314.0140569660698,-3.287617223328823,0.015100773237324,0.4256047298536317,0.8439474921066008,0.902749257403701,0.4873656618953754,0.4213763586617814,0.8681672310007869,0.5284947771911707,0.2921370215285221,0.0053016116140462,0.0,0.0,0.0140687697881756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008275746934220941,0.0,1.0,0.333
15,0.9720223188240742,1.495831713605634,-1.1863388800040429,0.2405202655228118,3.644761957787431,-0.4062136810202243,-591.7557416930779,-62.95936032903964,0.2811856248317796,0.3354224570272331,0.3175543223037651,0.5655106299946958,0.655434020349002,0.8448146224149485,0.3798983452621232,0.9379950354704024,0.016190576853495,0.2142003108555005,0.0,1.0,1.0,0.0,0.5616992098366147,0.0,0.0426136363636363,0.0,0.0,1.0,0.0,6.0,0.5649595791882501,0.0,1.0,0.333
16,0.5670665504412746,3.842757401467986,-1.4387525140893584,0.4172668947572268,0.0268067964731451,-0.7962823089722109,2427.2528261280286,-157.68892611895035,0.2946934986032798,0.988112752812178,0.9712222302269756,0.481846388679705,0.7356933865282459,0.6326557741861389,0.4656930714437367,0.8570664326413197,0.342759023140252,0.0082438768204048,0.0,0.0,0.0,0.0,0.0719935781733153,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.41599962224548914,0.0,1.0,0.333
17,0.2247826293070719,0.9250296904567832,1.273421354110413,0.7689344527591434,0.833844358504616,1.3553090955898883,3281.711842940308,242.78305214337823,0.8801132759129595,0.1340818020314544,0.2483986611146794,0.8800815357637551,0.5266983866097784,0.4117323634226405,0.3007269104227249,0.2173279987419256,0.5,0.2098296346025304,0.0,1.0,1.0,0.0,0.5100452796525904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1476497223325053,0.0,1.0,0.333
18,0.8666567878641832,1.487097757836141,-0.3363859250536163,0.5649867119676186,2.965723925915344,-0.8824816059989722,318.1301711180868,506.6962618148252,0.1289184328153623,0.9003659121559695,0.2627852099995392,0.1489222735477714,0.1829542164627442,0.1956037452995918,0.912966761683896,0.4302050923253122,0.2824803111738762,0.0005565334996266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48122596271041473,0.506
19,0.4970495278717194,2.3112375318710616,0.5851087809750037,0.8912471630744248,0.4957348169877219,-0.0666356950436284,2556.5036719051864,183.43281035055503,0.3361688470885874,0.9445285304729916,0.1104804987833626,0.5869352333128823,0.7009873324334492,0.6629434500415483,0.0659003771620947,0.958657619040844,0.5,0.0063448842215429,0.0,0.0,0.0,0.0,0.0295243426409048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017367260377002824,0.0,0.48122596271041473,0.506
20,0.3258071580648745,2.796928833096357,-1.3774974897163248,0.2426754221843381,6.104759219527154,-0.8463946843591486,2361.648799262986,725.7152873206094,0.7239391394374821,0.4750886106344313,0.5966637746018628,0.0669694239328263,0.0725621378222334,0.1989760262970783,0.151860997008541,0.1001043445814446,0.2531262964239139,0.0005073823489194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3504091105830154,0.55
21,0.5060852621249864,3.568234596497116,-1.2097260521179196,0.7621158405577686,1.0884048199766208,0.1062990578507283,-181.0321264707635,-140.62435962676412,0.6090274437605645,0.49120312961568,0.6748099347392726,0.7908541830542843,0.9826874926455662,0.0840806810766813,0.6312121124335804,0.5769748953814479,0.1073006267355579,0.0549605882745706,0.0,0.0,0.2109641307726256,0.0,0.4022877540811935,0.0,0.1925630810092961,0.0,0.0,0.0,0.0,6.0,0.4003420568154774,0.0,0.3504091105830154,0.55
22,0.9621201529014036,1.854841329316479,0.3815628360810914,0.5294719703955639,6.171807716538935,-1.4291128177028405,3661.635282088169,275.8244485374644,0.8044833046107446,0.2016204514118933,0.7133129799156471,0.3320794833627455,0.1896555960648762,0.1772148752657903,0.1735358286948463,0.9107039280238028,0.5,0.0551372480525826,0.0,0.0,0.0,0.0,0.6218607604520304,0.0,0.0702247191011236,0.0,0.0,0.0,0.0,6.0,0.39365208703253846,0.0,0.3504091105830154,0.55
23,0.1925995006134152,5.298396157480945,0.8299328620815012,0.6033209968697456,2.249703872668547,-0.1429062551858591,2267.548220218657,314.5470627334781,0.064729754729914,0.7059283750418825,0.7105124787858171,0.2845596612212293,0.2159587194043699,0.8990339294787398,0.3501035426914475,0.0728419321679614,0.3017528530223438,0.1666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.5294117647058824,0.0,0.3504091105830154,0.55
24,0.902834108538398,5.314009448043637,-0.3832930234553418,0.0922170088717242,4.105501782286836,0.1817121141975901,877.0414337816017,87.58175725974786,0.4065199163762486,0.468940248699169,0.2692355782510612,0.2917927742254326,0.4576863993229779,0.8605339129469265,0.5862529044678214,0.2834878624322098,0.3812724313958069,0.0990406312304535,0.0,0.0976332788198739,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.47633136934234555,0.0,0.3504091105830154,0.55
25,0.8239611805032472,3.05809659045357,1.2297908921866396,0.3950607897751658,4.678531703878699,0.1657418280339571,2057.2128859754675,155.58799532496892,0.937595007939789,0.7696547153578979,0.1455950290699066,0.5374343699445735,0.9957863055555854,0.0490563325051316,0.3028198379176134,0.7408133713521663,0.5,0.1667101841646864,0.0,1.0,1.0,0.0,0.0,0.0,0.1040650406504065,0.0,0.0,1.0,0.0,6.0,0.535533237685318,0.0,0.3504091105830154,0.55
26,0.3980173251685361,3.997716646196875,-0.3223330200252641,0.9401345913863456,5.759673438818391,-0.399060015050775,267.2424878789324,359.94653200359505,0.9927944775870328,0.3048960825039432,0.4958160534166788,0.1984975915353445,0.4828192516659408,0.9525354876049548,0.4016830220125976,0.0128420915315804,0.4856745263962349,0.003453608282875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3504091105830154,0.55
27,0.6205126814049073,2.342443736902402,0.3730219768041445,0.1572446583851362,1.7310708048484318,0.938451124398417,-61.098146730677286,84.98445932860517,0.242978179693955,0.4795073048230669,0.0007455220418979,0.0303113605224665,0.4615481516478055,0.1625206848665192,0.6795018037732852,0.7952045871766384,0.2873372131229944,0.0016461390238995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3504091105830154,0.55
28,0.4798140651407462,6.227748359369876,-0.6870566161995935,0.0596308136599047,5.702887048425029,-0.6401223646124719,3407.116408800832,476.9218284753695,0.6933427525386705,0.1162364772176403,0.2646061209254126,0.6788829057632292,0.9522767462374676,0.8200023378804208,0.904525654264573,0.7746912591832548,0.3943853729716971,0.0606756501336341,0.0,0.0,0.0,0.0,0.6742488246051788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039661695565010514,0.0,0.3504091105830154,0.55
29,0.2468868260283055,4.878214859942822,1.5373345141089962,0.1513313565743035,0.3838214445638715,0.5069254194500155,3653.201944995128,1194.8962000924298,0.8626829017857468,0.7295827730380082,0.5792919460504993,0.0156235222693792,0.9335008799703196,0.5696290447972427,0.4692117052926043,0.0198345012268406,0.3477741859529606,0.0485378838317485,0.0,0.0,0.0,0.0,0.5371465009060433,0.0,0.087173100871731,0.0,0.0,0.0,0.0,6.0,0.38966585892810435,0.0,0.3504091105830154,0.55
30,0.1292938646088541,3.4763465152834963,-0.9807586525787876,0.9521012430312082,4.282693113803365,0.12886710447971,2432.3127036355395,145.8300064287701,0.9267256842537278,0.8391930577999707,0.7263194984280372,0.48023995608541,0.8421031858766468,0.7447523234243593,0.6603259063996125,0.9139752670059378,0.5,0.0038036928643631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3504091105830154,0.55
31,0.7093400184719209,4.260785349795354,-0.0380506470859123,0.1431321285951599,6.029586979694103,-0.8792587672732779,3657.229551812057,-58.864377353890006,0.98033563411766,0.3761161338092124,0.8109366108973783,0.007292122632358,0.4450007924350507,0.2489417727098102,0.6945252021448693,0.66302674899863,0.4747957620345872,0.0448810223533819,0.0,0.0,0.0,0.0,0.5220067949294117,0.0,0.1148825065274151,0.0,0.0,0.0,0.0,6.0,0.3904052530268722,0.0,0.3504091105830154,0.55
32,0.3381774011033118,1.2985367638878509,0.7512727658274683,0.0176526146730997,3.8754431985232345,0.621680111925214,1520.8935770474243,-183.28374901782723,0.2510925371658887,0.2378256220072196,0.2677671825100903,0.2631899264495166,0.972715486653554,0.7911612519170003,0.8909107316191796,0.7135028950125847,0.4148950963417556,0.0034105926789902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3504091105830154,0.55
33,0.3414766308233445,2.861529541538861,-1.313843129406755,0.2912822049989271,0.9104131619811824,0.5230146409130354,3566.553636922481,-14.147975401579744,0.0282940718516271,0.7413571692162776,0.3541644897676999,0.5059662766343213,0.0610480751785413,0.1777649467381147,0.6955062919408151,0.6052106196172057,0.2971413507097049,0.1101616562021709,0.0,0.2465998604733905,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07332940355725827,0.0,0.3504091105830154,0.55
