# algorithm: SMPSO
# population_size: 100
# num_evaluations: 10000
# run_idx: 9
# problem_name: 15-areas_hor=1_ver=2
# variant: CV
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.4856331331000086,4.700597067809314,1.5402333896225842,0.4611087944523867,0.0599264164352115,0.7941234284487897,2797.317116309277,925.5615473757248,0.92284369015337,0.9510650535203666,0.0867892473983189,0.7518986986925664,0.7535763788357499,0.0615974075670706,0.2295450903064589,0.6178964295997067,0.4181098840574835,0.0167647570768533,0.0,0.0,0.0,0.0,0.151285309383747,0,0.0,0.0450215654200923,0,0,0,6,0.3644886396943435,0.0,1.3644886396943434,0.212
2,0.9419873199900928,5.042647264581228,1.164955052673605,0.0120435661369545,0.5870866731641766,0.0132736187316595,2792.071379696439,887.7065373917135,0.3783472372209013,0.7859189099068126,0.0249965338396164,0.366441736660653,0.8564657764337076,0.1158958725392382,0.1306808177517168,0.5865338606483937,0.3655707730659436,0.0155362415987161,0.0,0.0,0.0,0.0,0.1356997276102058,0,0.0,0.0462931214066946,0,0,0,6,0.36364663817746473,0.0,1.3636466381774648,0.212
3,0.5089431016054403,3.536348525850853,1.3963713821286663,0.8965012560227364,4.743014640095736,0.6638502203158656,1027.555872807489,1000.1632369339698,0.8096879993406826,0.9398032522401628,0.7073969847056323,0.921264900444722,0.4919050792164707,0.4781015342466975,0.9733725720398906,0.2626557937118881,0.3695672181348889,0.1667116622260255,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0,1,0,6,0.5294117647058824,0.0,1.3636466381774648,0.212
4,0.0372388333855667,4.783129297560119,0.0285107667102049,0.7251921471898121,3.198582036983994,-0.341112738884215,2201.2249004879977,1094.549698702685,0.5980494865057736,0.7839071360829738,0.5051581548562969,0.9457636149407496,0.7482329808574364,0.4832610855182437,0.8726735290113797,0.960195507069472,0.44567847619248,0.0026370272125762,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0357064458361061,0,0,0,6,0.355041555637418,0.0,1.355041555637418,0.215
5,0.9465413143122714,5.318305273670307,1.1039156643606731,0.0137282812229165,4.671458125233218,-1.0802898452648604,2884.959966656138,359.86670233993937,0.5571649901617056,0.6959095970878688,0.615656703039016,0.5411236402927405,0.6415894276021483,0.181409681002363,0.1822749792397757,0.3683972531076289,0.4579120606502544,0.0204741310335007,0.0,0.0,0.0,0.0,0.2300830961571731,0,0.0,0.0,0,0,0,0,0.01353429977395136,0.0,1.0135342997739514,0.329
6,0.6746344084833338,3.9726841896651934,-0.2582209467242369,0.668369642069696,6.208883937893321,1.1804480296853177,1501.925608527812,726.7398064345965,0.2335144650217357,0.614905893390014,0.9364429523249608,0.4182441270592866,0.490216707108916,0.2256971645234163,0.1923898039190427,0.6392399218071646,0.3066296833423904,0.0026857592917189,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,0.333
7,0.4780513686316527,5.686255369663615,-0.8658324745561924,0.0895839251711186,1.3222831766254364,0.7650161240852449,1099.7736841549556,173.81378876421587,0.3502860410381435,0.5272797378684028,0.2936868407089475,0.1113473967142834,0.3490768390811805,0.9140772222001182,0.6960357880812145,0.1005138890158562,0.4676888007054954,0.0029963112780174,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,0.333
8,0.0867308996299781,1.6560797969293286,0.6080945679683198,0.5100827197103188,1.5502036886157071,-1.2745918680041393,1652.6924908233575,615.8636568419001,0.5386100558766591,0.8692947511596324,0.4051140671834745,0.171704929476159,0.8132500338600024,0.1067396560636476,0.6341728012402719,0.0278966968712961,0.2754199210122384,0.0030478416545838,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,0.333
9,0.3373395057146167,1.0491302106166325,-0.6309463556170716,0.8181622451592894,4.822441672475578,-0.0990721957191504,-666.9278811291051,173.29500645985598,0.6053794622205996,0.1473945130656362,0.335903063056328,0.6464913121826709,0.5734640609372753,0.8549401189181206,0.6048668986536797,0.6490143443558886,0.5,0.1930821385143782,0.0,0.5974475222087998,1.0,0.0,0.6581221345776967,0,0.0,0.0,0,0,0,0,0.13268056804626452,0.0,1.0,0.333
10,0.4915417743068785,5.661046466621819,-0.4235893759161493,0.4879232244218887,2.5916230189732,-0.3327573561065453,-364.45808367352623,1036.8061565626394,0.3276961266633431,0.5064320280875152,0.2397167647226254,0.9711977954393608,0.570497746536579,0.3499224622699495,0.3427591784653621,0.6373749539832356,0.2489573543948057,0.2046154361837266,0.0,1.0,1.0,0.0,0.4508511736748358,0,0.0271739130434782,0.0,0,0,0,6,0.4987073580422538,0.0,1.0,0.333
11,0.2741656102992921,2.660860824057142,1.455858693914517,0.1501296260705154,1.250245621621702,-0.7686437201278365,-342.11770498391206,-125.44023660121078,0.2191321685416352,0.951649705715499,0.6217791632327163,0.0663339361619771,0.5352221887492882,0.3021190571528723,0.1949318196497043,0.4432307429977614,0.3018566763517826,0.0003893297181611,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.03620969086481172,0.655
12,0.8183193507524966,5.077633032002527,1.1493118284050283,0.9725686662763312,0.3130488318744209,1.0368620114454132,1359.6139450866722,-65.2470412799444,0.5409950669072052,0.7401777848385925,0.4734646740889089,0.7394083669388711,0.7440722298927288,0.8900360921381272,0.9809810157872064,0.0838839940134245,0.4670112199087338,0.0069991065782962,0.0,0.0,0.0131578947368421,0.0,0.0,0,0.0,0.0,0,1,0,6,0.4125386996904025,0.0,0.03620969086481172,0.655
13,0.478928213119382,5.677253114804249,0.6865623399685945,0.7604770991305967,5.776884057890467,0.1368846850710483,2641.256154285458,437.9843294441145,0.2740198949461103,0.996709560248188,0.1037118282205338,0.6511369328315265,0.5005311563880304,0.5799242790219535,0.8139105831375132,0.0970541807875814,0.3046713725822646,0.1365619591742614,0.0,1.0,0.6182448568762636,0.0,0.0,0,0.1226114649681528,0.0,0,1,0,6,0.5141680189320246,0.0,0.03620969086481172,0.655
14,0.6626685893941459,6.0564913483245295,0.1107758705418844,0.0414479013517578,0.2927526671927278,0.3225044911365009,134.2454897804232,417.2746454494585,0.0098783277471188,0.7516713537998563,0.4465498320919262,0.3425099545281671,0.6379277108966305,0.873992387006386,0.7839862644435744,0.4054971564295505,0.3069239362481104,0.0064827646573222,0.0,0.0,0.0289236896463621,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0017013935086095354,0.0,0.03620969086481172,0.655
15,0.1706671200514145,1.466412508250737,-0.2911981218183901,0.38631295715847,0.0421813544365251,1.503738865846839,1017.7282573596268,401.17112720538455,0.0024021489391562,0.8731488361760598,0.3735452144279009,0.9879628721331744,0.5354675560519072,0.7672346516164754,0.3479558761444861,0.0695972653197414,0.297149950224434,0.1540241984953187,0.0,0.8314337577153605,1.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.10773139751266826,0.0,0.03620969086481172,0.655
16,0.0073970256652349,2.704697821809644,1.2518809193901004,0.0324618891997519,1.7171037939244391,0.2126950606544382,2214.7250536133097,698.347423046542,0.2473650181588839,0.0610442848881996,0.0871732782087586,0.0591054214150263,0.6069555178473656,0.4259147239949407,0.0919873366564086,0.2957295088362598,0.3018209491662932,0.0004452688850796,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.03620969086481172,0.655
17,0.6521234976815328,0.8021259234259199,0.2130639142901977,0.8248022714399508,6.133828474134713,1.523536637049041,3450.518060591681,-169.24169416071322,0.4145554426737733,0.7375589342940824,0.2335411797885208,0.8263932242930369,0.9265147885953464,0.5928857244285469,0.7453836333566813,0.606215871289005,0.4953566652794281,0.2042983914348669,0.0,1.0,1.0,0.0,0.4476585344743667,0,0.1151178918169209,0.0,0,1,0,6,0.5625162603700757,0.0,0.03620969086481172,0.655
18,0.7136244129259098,2.974971834849188,0.1889526764383546,0.7786017507774499,3.174907914107379,-1.069361156949526,3448.249983800797,518.7334847986508,0.0792002289676599,0.1398225563393839,0.6761119073513902,0.3440279759897394,0.8673586412102562,0.4998133092324024,0.9324432002674364,0.4709941449363871,0.2971763262654646,0.0074826201224971,0.0,0.0,0.0415635768761679,0.0,0.0,0,0.0,0.0,0,0,0,0,0.002444916286833406,0.0,0.03620969086481172,0.655
19,0.2677056263685523,0.3807221069571461,0.337641726893183,0.6555981380286081,3.044624040546415,-0.7869223975950095,1087.1574141174092,812.5553789472087,0.2622743161624487,0.2593104709647544,0.7935728237141971,0.2811788858050549,0.8875325223582566,0.171227589621504,0.8739375950204025,0.6421927486796037,0.5,0.0912387991931077,0.0,0.0,1.0,0.0,0.0,0,0.0097402597402597,0.0,0,0,0,6,0.41233766233766234,0.0,0.03620969086481172,0.655
20,0.2558942788029729,3.4528306480551176,1.0561583012240838,0.7316101974401299,3.636069293957724,-1.010658823798995,-34.337142556741355,676.3162426389509,0.2434388329916416,0.6195597640247814,0.0380320716915262,0.4266176252295672,0.649780495483343,0.9420002611011556,0.4232478453749291,0.961127815119519,0.3019015633850751,0.1666666666666666,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.11764705882352941,0.0,0.03620969086481172,0.655
