# algorithm: GDE3
# population_size: 100
# num_evaluations: 10000
# run_idx: 3
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.5032517612945461,6.136983191669538,0.6913383912776871,3.8412785394222366,0.1460086201124989,0.661940196327568,1.9441777426431457,-0.1845445168909554,4.800010144001742,1.789868444592992,0.0191656255914934,0.1218888423293051,0.0,0.0,1.0,0.0,0.222109313482242,0.236583053086856,0.9170013386880856,0.0051364177578868,0.0,0.0,0.0,6.0,0.4929900072361806,0.0,1.4929900072361806,0.169
2,0.3701228595625858,6.1991876511270805,0.4206680129114353,3.754252045833488,3.8385227374681015,0.8860189485248933,2.413213243970412,0.9352264513032816,6.029355686539782,3.8633799083038416,0.0173863425737703,0.1465200308773403,0.0,0.0,1.0,0.5393453502137254,0.0,0.2163891219202356,0.9770642201834864,0.0082346559277786,0.0,0.0,0.0,6.0,0.5141784322497192,0.0,1.4929900072361806,0.169
3,0.4345687110927402,2.674657761804082,-0.1766679853534543,3.8049276727168,1.1904587253505166,0.6378758089465852,0.6182879697665977,-0.45731788947585,1.4249400243082464,1.73857086399351,0.0339795641567719,0.1440850855442847,0.0,0.0,1.0,0.0,0.2964257381806584,0.4303993832696302,0.9908779931584948,0.0,0.0,0.0,0.0,6.0,0.5128060655652226,0.0,1.4929900072361806,0.169
4,0.4057473275711532,1.201821307941115,0.0175765456773409,0.8774149198363633,4.331699129227387,0.0318294755679384,1.3171687878945366,-0.6422486146875847,2.062035753494156,0.4321211350713307,0.0200530166983587,0.1417026514994047,0.0,0.0,1.0,0.293340954562998,0.1229022040544162,0.2814069943782506,0.9670468948035488,0.002083702216472,0.0,0.0,0.0,6.0,0.5098106323538639,0.0,1.4929900072361806,0.169
5,0.7864957303119084,2.879966355533301,-0.6402951032046744,1.8206161540284505,3.345750831379879,0.8097348216649738,3.8216004789554328,-1.0420101383218348,3.9058370421890967,2.522606991640773,0.0191439017869579,0.0883386313280027,0.0,0.0,0.6972009213708428,0.0,0.1704632125601704,0.1754599558432236,0.8901808785529716,0.0,0.0,0.0,0.0,6.0,0.4666649981368946,0.0,1.4666649981368947,0.178
6,0.336082238084277,4.968713471696622,-1.1668449662694704,1.569130411417494,4.258721157739318,0.8798134151283129,5.921426560799526,-0.6604912249180148,2.831546067853916,1.1163824016948818,0.0219677887560628,0.185092367625574,0.0,0.0,1.0,0.5982751901651328,0.2494530559991639,0.3696092257306063,0.9948586118251928,0.0,0.0,0.0,0.0,6.0,0.5418938872776526,0.0,1.4666649981368947,0.178
7,0.6297111182434222,3.219902243638181,1.472624406997071,5.537320510583622,2.519964767493505,0.4053783403090525,1.7017561602833724,-0.0388581522294897,0.3751490716671165,1.5784337682485508,0.0196762872454988,0.1171224141590856,0.0,0.0,1.0,0.0411150755568257,0.0,0.3621910643741348,0.9643410852713178,0.0040006849440009,0.0,0.0,0.0,6.0,0.4924498770674282,0.0,1.4666649981368947,0.178
8,0.8208749484682661,3.3881190997015733,-1.5259108798404697,0.4260449436057005,5.921825562961046,0.9037455091948444,5.0875815917658045,-1.1626729193664591,0.0157077541682774,1.5673054596293483,0.0184226332237835,0.1612017210354965,0.0,0.0,1.0,0.0,0.6143690158250272,0.3025549396170187,0.9291666666666668,0.0,0.0,0.0,0.0,6.0,0.5203582718887478,0.0,1.4666649981368947,0.178
9,0.2710983546017208,3.453322975636518,0.549431784874788,6.1758869574193245,5.112097683128731,0.0682852317622663,5.292893545935857,-0.7588100229371822,2.13824804271704,4.070623020659231,0.0202925008794977,0.1535492615229401,0.0,0.0,1.0,0.0,0.4306105857203403,0.3963640187097891,0.9496402877697842,0.0063575165805721,0.0,0.0,0.0,6.0,0.5166454358106168,0.0,1.4666649981368947,0.178
10,0.0528715041586508,1.1617171779100814,0.4607676345093616,5.847087630433677,1.2339714314384915,0.3781950615374095,2.9997142710802014,-1.4632451934590052,2.205974960647045,1.6366295289270791,0.0351810361601719,0.1575434219978519,0.0,0.0,1.0,0.0,0.4521832799417262,0.4348968103313335,0.9930232558139536,0.0089420994685827,0.0,0.0,0.0,6.0,0.5228850262091527,0.0,1.4666649981368947,0.178
11,0.3195158478639103,3.157553792422976,-0.2791060672470746,4.479608719339224,0.2298367565623748,0.0460976348815666,5.49367033913108,1.131867358903619,5.444769624757301,3.1414442166538983,0.0383652337826606,0.0399915186846634,0.0,0.0,0.1935957373345642,0.0,0.1927536233286093,0.0427041731972043,0.5974683544303797,0.003546263310256,0.0,0.0,0.0,6.0,0.41353342068241256,0.0,1.4135334206824126,0.195
12,0.8128296937154355,1.577391808690674,-1.1292933868840591,5.282858253663608,6.256181611275194,0.7218883005196036,0.6697344607612422,-0.3154901464478021,1.7936613569129132,0.7780770068675696,0.0224783800076062,0.1288865156297563,0.0,0.0,0.984687765926113,0.0,0.3893316730232737,0.1669997812129118,0.8513779527559056,0.0049641009557852,0.0,0.0,0.0,6.0,0.4939624278749406,0.0,1.4135334206824126,0.195
13,0.5917627593934078,3.317019974913339,-1.3959521382153572,2.306745135739696,4.368279191859476,0.7758156869220701,0.234773595293476,1.4023559126810323,4.273825676457024,0.8983076913716553,0.0224185699845524,0.1495614014826398,0.0,0.0,1.0,0.2749192374417394,0.1261080632493847,0.3915655789281333,0.9813895781637716,0.0014021155276579,0.0,0.0,0.0,6.0,0.5161990925476875,0.0,1.4135334206824126,0.195
14,0.7768621687456343,1.4021049875914176,0.1756481111826917,1.0570320360315284,2.207033003118284,0.628739811155332,4.79827471298105,-0.91239572862061,3.472112906324205,5.89919302788215,0.0199480810094239,0.1648685648600974,0.0,0.0,1.0,0.3352796951026311,0.4135195862515214,0.22509559344639,0.95935960591133,0.0,0.0,0.0,0.0,6.0,0.5254855576889337,0.0,1.4135334206824126,0.195
15,0.9674300962892584,2.442285049911505,1.197171924307718,4.526038823290196,2.1586258579194437,0.2225185320614356,4.502552100050784,0.4310405581503653,1.8516560769635115,4.086328634460346,0.0316759803073802,0.1445920512046352,0.0,0.0,1.0,0.0,0.351264685385112,0.3821282168221146,0.980411361410382,0.0045156481587276,0.0,0.0,0.0,6.0,0.5128423477515491,0.0,1.4135334206824126,0.195
16,0.1073700067977661,1.8278443982872987,0.6884189826717764,1.1164062186326076,0.8185025340055937,0.1779950103141359,2.07140330775634,0.2319989789785523,0.6219407309758823,4.223297495756167,0.0272050830975234,0.2041195286315393,0.0,0.0,1.0,0.7239802450520587,0.3946201969455158,0.3283063180651665,0.9889112903225806,0.0,0.0,0.0,0.0,6.0,0.5550481206109013,0.0,1.4135334206824126,0.195
17,0.2234791376742007,4.445753720137407,-0.7651885659971056,1.332968342699625,3.6069766643705305,0.187213428500911,0.7920381818737212,-1.3875771681032276,5.964813198399427,4.5758792163853625,0.0181539210072496,0.1387852551019825,0.0,0.0,1.0,0.1651089516523019,0.1742803347846522,0.3220964324193023,0.9535864978902954,0.0030912027539827,0.0,0.0,0.0,6.0,0.5069507893823844,0.0,1.4135334206824126,0.195
18,0.0703685206519544,2.142089990257281,-0.3718432548594832,2.9354620140721166,3.112824342992082,0.4582555728519689,4.2785541141586325,-1.5207867081999598,4.650470472355425,1.1433481024782883,0.0157789338188108,0.1211849574937421,0.0,0.0,1.0,0.0,0.2302781676065674,0.2069811847076506,0.4852507374631268,0.0231326452821634,0.0,0.0,0.0,6.0,0.46739074912114753,0.0,1.4135334206824126,0.195
19,0.9472045605072495,2.8177148100024305,0.0478956882946699,3.294302364560441,0.444349160301632,0.020225216715673,3.2166606956176294,-1.5044420084841057,2.4490265236114883,2.4777110047158333,0.0158886134114336,0.0861183190298866,0.0,0.0,0.7708876436350593,0.0,0.0,0.2494359304812852,0.939209726443769,0.0065380708700734,0.0,0.0,0.0,6.0,0.4685924336135404,0.0,1.4135334206824126,0.195
20,0.8933954869025038,2.4839132870948912,-0.1065846887441523,2.6852249138527045,4.846786660470678,0.3056456953191359,2.8791750595581083,1.253271487364207,5.601064497233122,4.747225791474202,0.0400286784483817,0.1953588008956062,0.0,0.0,1.0,0.3656153900083524,0.5328693205706464,0.4425531644872562,0.9977924944812362,0.0,0.0,0.0,0.0,6.0,0.5493429629145583,0.0,1.4135334206824126,0.195
21,0.1574294314971929,3.543940843913104,0.5193876856109223,6.118828990123792,4.612882546708439,0.081376459944572,4.538796876429068,0.9070787086646076,4.577467296921082,5.106528623430359,0.0252402908696896,0.1369972272638775,0.0,0.0,1.0,0.0,0.2070390836133752,0.4309682772344628,0.9884559884559884,0.0029621812173447,0.0,0.0,0.0,6.0,0.5076132665012454,0.0,1.4135334206824126,0.195
22,0.1112784206967585,4.735020180376542,-1.2896600678576566,0.3154602502183012,0.9084899000828422,0.7466712095346084,5.9767687351319525,1.0458276144970564,3.871884338787544,2.1073144745165737,0.0261718566853193,0.1586769146705564,0.0,0.0,1.0,0.0,0.5175310469589699,0.3829779471189831,0.9831460674157304,0.0109843966519621,0.0,0.0,0.0,6.0,0.5232140857732732,0.0,1.4135334206824126,0.195
23,0.8600941105217175,2.0785630751011106,0.3731739506525122,3.169611995398262,3.736762884377659,0.2441858812200158,2.008749876653092,1.4368651508959864,0.2304574008147191,2.912506442798599,0.0164089103388166,0.1287589036049146,0.0,0.0,0.6599930889410848,0.0,0.6766253455522792,0.1781636265137404,0.8775790921595599,0.0,0.0,0.0,0.0,6.0,0.49366830312745086,0.0,1.4135334206824126,0.195
24,0.6866801253205971,1.9580488963445863,0.0881966290644895,1.4388987351366327,3.0449640198575443,0.6852065339668566,2.524944327439316,0.9765408300617792,4.493244105764048,4.652858814844834,0.0313857974594646,0.14172419484114,0.0,0.0,1.0,0.0,0.4722009017200886,0.224699855592009,0.9106449106449106,0.0,0.0,0.0,0.0,6.0,0.506326215762177,0.0,1.4135334206824126,0.195
25,0.2565381232538636,4.508758277861282,1.4027116665227417,2.4925545680240786,0.3069802937294771,0.0918840364118278,1.3928772034686132,1.1845949444356385,6.179473675559354,3.533606226583444,0.0155791322397006,0.1602599429270991,0.0,0.0,1.0,0.2743095060800708,0.5433880941879523,0.0850223021000331,0.86731843575419,0.0,0.0,0.0,0.0,6.0,0.515884608124838,0.0,1.4135334206824126,0.195
26,0.6488285174361039,1.026638986867516,0.8381561412046743,0.1775958662608133,4.442139415887616,0.6772060245114175,3.663384157308454,0.4919843657598131,3.2382798483555213,3.647841967477373,0.0195090591985208,0.1903921690709734,0.0,0.0,1.0,0.268339578030954,0.6934528133571449,0.3144979709844999,0.973397823458283,0.0,0.0,0.0,0.0,6.0,0.5440993050488753,0.0,1.4135334206824126,0.195
27,0.7604861723430274,4.155792121892968,-0.4120060365953593,3.988551932389585,0.3669498778039032,0.1612610946917092,4.163652549504815,-0.0658061950770803,2.6410838714953564,0.1314160571872696,0.0499710588727489,0.0997233856641161,0.0,0.0,1.0,0.1156782180211019,0.0195788449704,0.0531868226688512,0.8796433878157504,0.0111491322618866,0.0,0.0,0.0,6.0,0.4752492003375289,0.0,1.4135334206824126,0.195
28,0.4831331945685053,5.55550360884231,0.3912226533993157,4.802467428004666,0.1220033082251297,0.7159507742123437,5.537149440229512,0.3887114076146163,4.022666242942271,3.453991382372592,0.0203374639003408,0.120664263861771,0.0,0.0,1.0,0.1470292258644268,0.2517521124396747,0.0421275526342818,0.8981900452488688,0.0009996564452734,0.0,0.0,0.0,6.0,0.49059403486073677,0.0,1.4135334206824126,0.195
29,0.5544459488192451,3.636925798040175,-0.6938413914676246,2.8806994463645483,2.8155841579582206,0.3189722645251742,1.594840225578114,-1.249423122535744,1.1925242173097002,3.016024605650325,0.0155149412236902,0.1076609696907357,0.0,0.0,1.0,0.1080188140883168,0.1295896115660847,0.0445598892692723,0.8008474576271186,0.0037432679219635,0.0,0.0,0.0,6.0,0.4756917082631033,0.0,1.4135334206824126,0.195
30,0.751534927775819,2.568199269188228,-0.8064407789232162,5.371358187714424,4.673490917121936,0.411008660493519,2.6396285822099794,-1.3813745317633348,0.9082758447733512,1.4319855553426646,0.0326705352507408,0.1538332550883761,0.0,0.0,1.0,0.3225031311597934,0.0793302777338903,0.4423345220033694,0.9973718791064388,0.0,0.0,0.0,0.0,6.0,0.520090577059029,0.0,1.4135334206824126,0.195
31,0.357506345980256,3.804972750547436,0.7900615592741702,2.160217740549136,3.6834954623595375,0.2150764955685512,1.6648937486166864,-1.2084268078886724,0.2770235967391563,2.763860528815904,0.0162842221314887,0.0728828182997198,0.0,0.0,0.5809976460470768,0.0,0.0623646702069371,0.2084751221194702,0.9316005471956224,0.0099846283961152,0.0,0.0,0.0,6.0,0.4584366243508954,0.0,1.4135334206824126,0.195
32,0.8708381334154065,2.0618471335010957,1.0348991764374769,6.278015278784111,4.583623125181048,0.4646260315185286,1.1832072431595353,-0.5699920872726174,3.3991890534810416,6.127311686175772,0.0185495180956575,0.1615444009761109,0.0,0.0,1.0,0.0,0.6679942325411854,0.2420445502445366,0.7092391304347826,0.0,0.0,0.0,0.0,6.0,0.5070163478365002,0.0,1.4135334206824126,0.195
