# algorithm: NSGA3
# population_size: 100
# num_evaluations: 10000
# run_idx: 6
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.5038813096822186,4.030516435589919,-0.0922639221603707,6.081586970393318,0.7313340472568177,0.3505740833254909,4.273873734795499,0.8967046100669198,2.4988385622340488,4.654388196460785,0.0215303742924892,0.1753279829236926,0.0,0.0,1.0,0.1701149348903785,0.5454038770394503,0.3807646742790035,0.9849624060150376,0.0,0.0,0.0,0.0,6.0,0.5341909348366982,0.0,1.5341909348366982,0.155
2,0.0856223703626284,4.502053402938954,-1.5361095930189774,2.3020532300559955,5.49017406009752,0.8846185403986101,6.117765438226475,-0.1338309941180053,1.7698789518740876,3.195436309437346,0.022801735447052,0.1252878205179083,0.0,0.0,1.0,0.0,0.3305989815443112,0.1692470994469961,0.9133004926108376,0.0031142421436097,0.0,0.0,0.0,6.0,0.4950741656321032,0.0,1.4950741656321032,0.168
3,0.6126390590614251,1.5981167463138752,0.6286592005646447,0.8131198089047256,2.5668178881633934,0.0963015760738352,0.952776182028909,-0.6159359889679271,4.604598466061479,0.8489842230922708,0.0225115332632604,0.1335722775269017,0.0,0.0,1.0,0.0,0.2931028511366854,0.3078867818317728,0.961950059453032,0.0,0.0,0.0,0.0,6.0,0.5037023348483229,0.0,1.4950741656321032,0.168
4,0.8281566850989471,1.736361146339486,-1.1760290037527543,3.53605780982705,1.6797405106015684,0.7750349283063583,1.1272433143088156,0.8898770777541745,3.8201535498852737,0.2623159252392661,0.0244695674427665,0.1510282514524399,0.0,0.0,1.0,0.0,0.5340052668147729,0.2742399297854326,0.9635535307517084,0.0,0.0,0.0,0.0,6.0,0.5159881604324655,0.0,1.4950741656321032,0.168
5,0.613096013975542,1.52333179969297,-1.2619051839533586,4.788252163979428,0.8838966441452375,0.0767253512864393,5.856670018611715,-0.6438311016789054,5.168271551636275,1.4014160244697875,0.0297329250653281,0.1728588997045302,0.0,0.0,1.0,0.2967317185799252,0.379003755976957,0.396640560139187,0.9878504672897196,0.0011739054171903,0.0,0.0,0.0,6.0,0.5330235533766459,0.0,1.4950741656321032,0.168
6,0.3972159799627008,0.3072892014345967,-1.31555259668347,2.8317090218175527,5.795103388209984,0.2333694530363959,5.459203592829832,0.9620405139592708,1.0942420140957785,1.962725491121332,0.0173009659058118,0.1395592667396882,0.0,0.0,1.0,0.2790587829431793,0.0983031422568267,0.293688234308221,0.976851851851852,0.0132503937964188,0.0,0.0,0.0,6.0,0.5094795532444999,0.0,1.4950741656321032,0.168
7,0.2661980451941594,0.8942713976400597,1.4184269180033362,1.5557917823953062,2.237983677555363,0.0489390880657535,1.496219134538029,1.2026794396881026,6.059711356562443,4.12194438557728,0.0202118348727679,0.1355854550385813,0.0,0.0,1.0,0.0,0.2452072385132651,0.3770332675961648,0.9717682020802376,0.0162427896138868,0.0,0.0,0.0,6.0,0.5064853822237385,0.0,1.4950741656321032,0.168
8,0.4283972502145301,5.398975825190854,0.4214633023153302,5.182334264337064,3.123070390684648,0.5824607402418369,2.852014678489569,-0.7594119357952006,3.8851236175693065,3.615454913041888,0.0175251615768931,0.0605577492709154,0.0,0.0,0.4871929080411462,0.0,0.1003951034858488,0.1084075856011836,0.7828863346104725,0.0054860298452274,0.0,0.0,0.0,6.0,0.4402569389166987,0.0,1.4402569389166988,0.187
9,0.8329081205343465,2.882359012807746,-0.0804742452567965,4.775765312882041,3.819377224692511,0.867174760334389,2.75254607249324,1.0673287200997097,3.996408834410993,1.907463579864071,0.0243640908941034,0.1347826060864275,0.0,0.0,1.0,0.0,0.251906331269548,0.3635236065813529,0.9793939393939394,0.0015942779387962,0.0,0.0,0.0,6.0,0.5056716561872727,0.0,1.4402569389166988,0.187
10,0.0776823561503825,4.209454136757124,-1.3813783789630094,0.6990293517662429,2.986668134246189,0.0809578961843208,0.2007666827737248,0.4386207098398795,5.624545836599024,3.036240013219321,0.057105501442423,0.0933992536556924,0.0,0.0,1.0,0.0975955679297182,0.0,0.0138535187453362,0.8583218707015131,0.0044248092087168,0.0,0.0,0.0,6.0,0.4690703392108991,0.0,1.4402569389166988,0.187
11,0.8376605185409028,4.454699088848629,1.3604036455463069,6.122058192046445,3.695498736640946,0.946075335755932,4.431814481761873,-0.1109796775829723,5.749275161962631,3.641703381221881,0.0176270424311239,0.1828194089157406,0.0,0.0,1.0,0.4548950389199095,0.5800453092798868,0.1473997466186868,0.9434229137199436,0.0,0.0,0.0,0.0,6.0,0.5368095887375546,0.0,1.4402569389166988,0.187
12,0.3382061170042287,1.4151963666093412,-0.9947659805213984,0.3454337654750832,6.007227490619262,0.1468118936753151,6.01786707461299,-0.5053956511810487,0.3726685293051898,5.147382313676461,0.0237176301288454,0.1771289583744357,0.0,0.0,1.0,0.2557735390976367,0.6313662701573969,0.233715687675705,0.9682203389830508,0.0032902023468457,0.0,0.0,0.0,6.0,0.5348450610741551,0.0,1.4402569389166988,0.187
13,0.0193858089809977,3.850526898798572,-0.7867830747034152,0.813268534042897,2.301286581413621,0.20009350511422,4.81594475663321,1.3640203585512385,0.165891159558232,1.608895076289492,0.0221310667101819,0.1660411740729372,0.0,0.0,1.0,0.098237620561954,0.4911119188252822,0.397496747049363,0.9853333333333332,0.0,0.0,0.0,0.0,6.0,0.5277752717511724,0.0,1.4402569389166988,0.187
14,0.2766665886785313,1.8946665069651667,-1.0043117803512789,0.4208349535382907,4.896071327650193,0.4007484742283161,1.5445002620171242,0.0746825307281695,1.60212236541084,5.352698730271539,0.022284409700657,0.1603244430154459,0.0,0.0,1.0,0.2812637150942755,0.2400285974956983,0.3998880475431636,0.9879356568364612,0.0,0.0,0.0,0.0,6.0,0.5240656480570351,0.0,1.4402569389166988,0.187
15,0.5385924556637353,2.956896703963611,0.6247428741191285,2.565662267991053,3.6953178776130535,0.7372440819010126,0.8462796245031189,0.5969865592992929,1.976208326385676,1.723019723163852,0.0264314648893138,0.1440544037666729,0.0,0.0,1.0,0.0,0.3790431136194516,0.3466884051970381,0.9828693790149892,0.0011123967184017,0.0,0.0,0.0,6.0,0.512336076149993,0.0,1.4402569389166988,0.187
16,0.791919887656247,1.7757203175533487,0.3809868332801325,1.4275510435601888,1.3675711305488951,0.968652836002322,1.86214890664943,-0.8612812635785732,1.759551631484095,0.1707752530979829,0.0269146489726027,0.1470983967143629,0.0,0.0,1.0,0.1326578482728556,0.3943028668409529,0.2348109981439213,0.9691629955947136,0.0,0.0,0.0,0.0,6.0,0.513584394638379,0.0,1.4402569389166988,0.187
17,0.0386575774687295,0.1582399280564944,-1.0122249789831326,1.916672621042324,6.187349731781347,0.9434614478301278,4.800074399650705,0.3866988985562465,6.08767507447308,3.600367401227989,0.0158009758044128,0.0806890358137202,0.0,0.0,0.4672553184508039,0.0,0.3600791771889056,0.1075055994874302,0.7119784656796769,0.0009201335347857,0.0,0.0,0.0,6.0,0.44986698202009423,0.0,1.4402569389166988,0.187
18,0.3448837351900128,3.9661381984658335,-1.5144589631752343,4.803227959961509,1.0805356740816252,0.6124065061515941,0.7389452541721269,0.221155837205625,4.609696119989022,5.005074770188117,0.0424834998495991,0.154799993869579,0.0,0.0,1.0,0.0,0.4383748437913149,0.4176310847501632,0.9905498281786942,0.0012444885728055,0.0,0.0,0.0,6.0,0.5204588379584105,0.0,1.4402569389166988,0.187
19,0.8978090863321138,0.3271749503318371,0.6890598249162307,5.820008544756393,1.8682649713030088,0.1119256526852363,5.359245799927347,0.10515843054294,5.03804260692574,2.811844842947109,0.0198594716898222,0.1530118439861317,0.0,0.0,1.0,0.2092824057044191,0.3536433585958665,0.2688109495821189,0.9528061224489796,0.0,0.0,0.0,0.0,6.0,0.5167378139018461,0.0,1.4402569389166988,0.187
20,0.2211592874328378,4.033411596598353,0.7126655062626281,3.1674381062447337,2.0660845742935563,0.7221986519363565,0.8180831763901225,0.6926997149796055,2.8132737394994507,3.2456831812257065,0.1145623653218538,0.1009179805331844,0.0,0.0,1.0,0.0,0.0,0.2070400593756014,0.7512116316639742,0.0139963515944165,0.0,0.0,0.0,6.0,0.46895576721376425,0.0,1.4402569389166988,0.187
21,0.6960872789431042,4.510607982734132,0.2889991386557475,1.700998655544666,2.565481081973445,0.7756379611937282,2.925310931755253,-0.3018072182463787,5.369170605019592,6.252376669743306,0.0349460420804414,0.1224698429603355,0.0,0.0,1.0,0.0261790059951777,0.3323673936139142,0.0847060737157122,0.7982885085574573,0.0013364389538648,0.0,0.0,0.0,6.0,0.4848751424021251,0.0,1.4402569389166988,0.187
22,0.9052586309138748,5.750800873423485,-0.8117005076170644,0.1179158615280722,4.211554370559198,0.2705634083865132,0.0898900861158951,-1.2656522028255957,2.631634916781299,0.7574268488032011,0.0173298810816417,0.1464338036500682,0.0,0.0,1.0,0.4399104667494766,0.0,0.3151364850334886,0.9824561403508772,0.0092649821232547,0.0,0.0,0.0,6.0,0.5145157690739469,0.0,1.4402569389166988,0.187
23,0.5216949297898275,1.7555316382686657,-1.49929214809883,3.6814174690263193,1.2685096915410743,0.4415317727198017,6.036750540872648,-0.9348842546064072,2.599641745156255,5.301385778212751,0.0220351610587371,0.1174667903700895,0.0,0.0,1.0,0.0,0.0,0.4078536575128311,0.9784283513097072,0.0184520497095877,0.0,0.0,0.0,6.0,0.4943961210901251,0.0,1.4402569389166988,0.187
24,0.7253456535848413,3.540403011433119,0.2977555517718135,2.4362210169616145,3.986431860844478,0.8677924764357647,4.0947127571587565,-1.1668062990145984,0.5575590545327795,4.256646793126476,0.0194732355261543,0.1536599888771028,0.0,0.0,1.0,0.5039353088035826,0.0,0.3379594628714881,0.9871611982881596,0.0,0.0,0.0,0.0,6.0,0.5193562335272488,0.0,1.4402569389166988,0.187
