# algorithm: RS
# population_size: 100
# num_evaluations: 10000
# run_idx: 7
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.0763082893739571,4.900374296196336,-0.1934931060342382,4.545665775603436,6.144889332352788,0.5384958704104337,3.1486327343951435,-1.3444410155490512,1.6866518556503505,3.1408543845033456,0.026806671362217,0.0472766786261037,0.0,0.0,0.0938221803602658,0.0,0.4100265025186228,0.0157802477596021,0.7837837837837838,0.0041891156888842,0,0,0,6,0.42985893118300933,0.0,1.4298589311830092,0.19
2,0.6792299961209405,5.050041302457695,-0.3740344614452771,0.4142902860882791,1.8104721959004413,0.9095935277196135,1.340739718380646,-0.1504070098365511,5.8509399808672455,0.1564464607044678,0.0296977780697586,0.1035627643822895,0.0,0.0,1.0,0.0,0.0,0.2389941075566408,0.8952802359882006,0.0,0,0,0,6,0.47848672609087306,0.0,1.4298589311830092,0.19
3,0.6005489174641225,5.969839716916899,-0.8472784939620547,3.4462638016799443,5.712222047428365,0.1331694457592501,3.288698236482355,0.7866857737414077,4.203534165430404,2.9389778957408965,0.0185251641084455,0.1443533240447047,0.0,0.0,1.0,0.2067505567000149,0.4119708108703985,0.1069159715244363,0.9176755447941888,0.001705446815866,0,0,0,6,0.5085304900414649,0.0,1.4298589311830092,0.19
4,0.204849090297795,3.0835730236019403,-0.4009153223134782,2.9995999217940668,2.298957095974892,0.8379179943092606,4.829554719363606,-0.5843529555972987,3.5979110765873146,1.734467324532331,0.0179966824851947,0.1277988251029967,0.0,0.0,1.0,0.1375320229796154,0.0,0.3936504850447803,0.9858044164037856,0.0105381884064399,0,0,0,6,0.5016191242843895,0.0,1.4298589311830092,0.19
5,0.4528429325464004,2.21782848265408,0.4944849959478685,2.3269844831284705,2.884566253316765,0.7193241225090415,2.594904192673268,1.2768163566546336,1.1338109624310546,4.656587213162117,0.0204603410678161,0.1163968253477382,0.0,0.0,1.0,0.0,0.1201843630106168,0.273432858081624,0.9359145527369828,0.0068906648033535,0,0,0,6,0.4903777905077987,0.0,1.4298589311830092,0.19
6,0.4223740436431403,2.6794868220882715,0.4221668080904293,3.2855165593343942,2.606805483885536,0.0014268805627581,0.5797014158302342,0.657831889030017,3.294560549479399,4.3741051958091495,0.0227949429493932,0.1702317288961421,0.0,0.0,1.0,0.0,0.7013083630707959,0.3351958217547732,0.9709443099273608,0.0051247305738907,0,0,0,6,0.5301513661956953,0.0,1.4298589311830092,0.19
7,0.955468323002926,4.290874295881003,-1.4038876224818886,1.9405786516191768,3.723382232502898,0.2351204072574643,6.063091606139792,1.3981602303606273,5.330659949077584,2.9676991937076345,0.0220791124295587,0.1032788816480432,0.0,0.0,0.6396359929418074,0.0,0.4208719284218038,0.1589099608032102,0.9046653144016228,0.0022467584769279,0,0,0,6,0.47801940912031604,0.0,1.4298589311830092,0.19
8,0.8414767148983973,0.8237924616152904,-0.600880937112108,2.909092141028162,4.661163431506664,0.4858252287088966,0.860018018531911,-0.4915444888359526,2.0384297425504454,1.8875876456100973,0.0293004798571784,0.1534045103351295,0.0,0.0,1.0,0.0,0.3988497895500353,0.4361087066113478,0.9905020352781548,0.0,0,0,0,6,0.5191447371435023,0.0,1.4298589311830092,0.19
9,0.1655014004657874,2.6069047213550234,-0.1629837612625131,4.868842655842572,5.003870349931363,0.5223901280016119,2.8942255088948827,0.8740338067390634,5.575000905503879,4.240639698366721,0.0311249339522554,0.1434441404065022,0.0,0.0,1.0,0.0,0.2997840849613701,0.4192158196841092,0.988120950323974,0.0035295652265652,0,0,0,6,0.5123912011880011,0.0,1.4298589311830092,0.19
10,0.8004790489984636,5.900610659575598,-1.443072334542858,5.502007715616312,1.73769703333341,0.4757644994242442,5.006196737928875,0.6824866009653099,0.9245554620111968,4.13903738179082,0.0253238457857158,0.1217380716381019,0.0,0.0,1.0,0.0,0.0442825394960187,0.4146207620263014,0.9867197875166004,0.0053791790916619,0,0,0,6,0.4971177804782696,0.0,1.4298589311830092,0.19
11,0.0692520700098354,2.243540925692192,0.9827830166200996,2.687348722688404,3.768996588419457,0.7281612831471338,5.159925242362007,0.8184323870791208,0.0448825222781425,2.6405515625730875,0.015543943304845,0.0818714544486353,0.0,0.0,0.7105959871341245,0.0,0.0,0.2559430629196032,0.9483870967741936,0.0088050690199273,0,0,0,6,0.466101836226344,0.0,1.4298589311830092,0.19
12,0.4631362180381473,0.3487136625136268,0.1301942977394397,3.8187362556056015,5.20532494248564,0.9418092681914484,0.8051767134165659,-0.8468770129060096,4.141614355577796,0.8323586201168672,0.0306519380382157,0.1509054703741499,0.0,0.0,1.0,0.0,0.4316776532627682,0.3770043613442075,0.9881773399014778,0.0034503499250341,0,0,0,6,0.5176652767313816,0.0,1.4298589311830092,0.19
13,0.2240786369463193,3.61196816398738,-1.038221842230107,4.914896993630428,5.384536662596438,0.0336742045028481,3.3467060123676267,0.9329002030182189,6.126983317094176,1.7232175631269309,0.0191496855949951,0.1601914241263643,0.0,0.0,1.0,0.2013627472868099,0.3144436359808942,0.3984797613034299,0.9767080745341616,0.0,0,0,0,6,0.5229996599473703,0.0,1.4298589311830092,0.19
14,0.1691010633653833,5.508474403307927,1.285484622128854,1.2411357487847692,2.774213192032009,0.7192321416923365,5.311460281041192,-1.0421438636725826,4.178123217453642,5.0757798884677365,0.0269348931234237,0.1707520694449488,0.0,0.0,1.0,0.3429991650629455,0.4348487403957159,0.2685687304013633,0.9692028985507246,0.0008578158346533,0,0,0,6,0.5303810206026708,0.0,1.4298589311830092,0.19
