# algorithm: RVEA
# population_size: 100
# num_evaluations: 10000
# run_idx: 2
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.2253117803863696,1.7918722155286717,-0.5489364147442604,0.0498503984979917,3.461299108799817,0.013001957758872,1.8884957809314555,1.2875066525899053,0.9939700085016092,4.010946346824923,0.0163678956590348,0.1564728770769138,0.0,0.0,1.0,0.2370909073284966,0.4336093310357698,0.1951372223531768,0.950965824665676,0.0280720453434081,0.0,0.0,0.0,6.0,0.520286784160384,0.0,1.520286784160384,0.16
2,0.0434896979362774,1.5554080244909878,1.3922618866173813,3.498855614693191,2.246353304583212,0.0094503741378992,1.5930907472884794,-0.7721196246715216,1.0724487893252117,2.167573013915134,0.0244155304602108,0.2059782667764154,0.0,0.0,1.0,0.7537390208357967,0.4086285211552212,0.3059683245494183,0.9888475836431226,0.009904441209592,0.0,0.0,0.0,6.0,0.5568875230231265,0.0,1.520286784160384,0.16
3,0.5479077800903767,4.3952176803371295,-0.798557780103323,1.172612939069838,0.6948144094545079,0.2740592525360537,0.0644028969535214,0.4063955549118272,1.854622291243014,1.1767560659033969,0.0262744076708026,0.1811995730327249,0.0,0.0,1.0,0.5572072983534349,0.2828919115839143,0.3321847692830559,0.9815573770491804,0.003145337339351,0.0,0.0,0.0,6.0,0.5386462760946432,0.0,1.520286784160384,0.16
4,0.4565399134644098,5.811544655305034,-0.1863133326040522,1.273290680558418,6.255897667783681,0.7239434568998367,0.814741568877603,0.0886134358605472,1.924251971296294,5.541209063715178,0.0223669463891919,0.1215057600600152,0.0,0.0,1.0,0.0262552110321524,0.2927747535009524,0.1167263621549067,0.884263959390863,0.0042100064836989,0.0,0.0,0.0,6.0,0.48966060544485723,0.0,1.4896606054448571,0.17
5,0.2186717614030582,5.778710793649679,-0.1872004343095545,5.980498811656445,1.5912225836324054,0.4685526660747103,5.036612531860245,1.5372918209771442,2.8258132058943355,2.9531573448526336,0.0216270418701313,0.1616706005555759,0.0,0.0,1.0,0.031181484744214,0.6494841902243212,0.2529062111297928,0.952109464082098,0.0,0.0,0.0,0.0,6.0,0.5226871382459075,0.0,1.4896606054448571,0.17
6,0.8762664517041591,2.7167808114837366,0.3758647434559548,1.8248050440211416,3.865758496165784,0.9536599623823226,2.8149594842643872,-0.9203300760113295,2.6726615186546945,2.79334248831381,0.0237806327270615,0.1211226974805775,0.0,0.0,0.8782863837016495,0.0,0.3308368192033104,0.2353651776162998,0.9308996088657104,0.0040088422081344,0.0,0.0,0.0,6.0,0.49290569597618267,0.0,1.4896606054448571,0.17
7,0.5463889699642912,4.676957403067599,-0.4134234457675763,4.268331227318407,3.544393915294562,0.2079750163830276,3.435733207518711,-0.0754335952571747,2.121954958767188,4.163459756649083,0.0209212739669985,0.1477176339725644,0.0,0.0,1.0,0.3422812616072709,0.1831948497527972,0.2442164167711133,0.9639344262295082,0.005402072821682,0.0,0.0,0.0,6.0,0.5140605310107278,0.0,1.4896606054448571,0.17
8,0.8986993194285378,4.245065901112988,1.5446304013484706,2.9104528759195865,0.6886865862779273,0.1215985100334603,4.690219434106294,0.2473932098516609,1.362254198512528,3.440646503709528,0.0159294700807759,0.1321768392977064,0.0,0.0,1.0,0.2435619421137828,0.1836083053555059,0.1527153932284155,0.9434850863422292,0.0012232397006103,0.0,0.0,0.0,6.0,0.5014467039259143,0.0,1.4896606054448571,0.17
9,0.7816743571026431,0.3306813315337218,-0.5516791768189895,2.951668399038395,0.7139830060438009,0.6411773094303422,3.356569681719072,1.0266995294042118,2.778958962170322,1.8536703753004329,0.0214005851023674,0.1679599604663395,0.0,0.0,1.0,0.0,0.6345632787435302,0.3725290578681864,0.9730496453900708,0.0247686262357998,0.0,0.0,0.0,6.0,0.5297006240139757,0.0,1.4896606054448571,0.17
10,0.3158921446849086,1.4806328068752217,1.3602633457947535,5.018459422537053,2.1580120047283784,0.4498338751875084,0.6352928562091192,0.2807944344271067,4.579854454851042,1.4322696519561091,0.0364892096726175,0.1480015461860934,0.0,0.0,1.0,0.0,0.3603648331946312,0.4138879462701497,0.9892787524366472,0.0035867327742579,0.0,0.0,0.0,6.0,0.5157128390985698,0.0,1.4896606054448571,0.17
11,0.1811214483155803,5.500434521350571,-0.6170534148522571,1.744545706174984,0.943281392606281,0.4446818222422596,1.4543985967353752,-0.4433993708055164,2.0963632689846525,3.926284397098572,0.0279709486903432,0.2083695171966828,0.0,0.0,1.0,0.8239092635274946,0.3879900237964071,0.286425625047286,0.9901477832512317,0.0,0.0,0.0,0.0,6.0,0.5581454526836718,0.0,1.4896606054448571,0.17
12,0.2449941384141697,3.173397638586196,0.5605277044988255,2.090792476516517,1.9249460031732328,0.775797911221549,0.2064273819599678,0.8978604653099294,2.6925980000053915,3.952182979358506,0.025395895976887,0.1502216968508328,0.0,0.0,1.0,0.0,0.4155032485672355,0.3838655050968935,0.9771908763505402,0.0014291359239603,0.0,0.0,0.0,6.0,0.5163522803493312,0.0,1.4896606054448571,0.17
