# algorithm: SMPSO
# population_size: 100
# num_evaluations: 10000
# run_idx: 9
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.2409591712724811,5.475763236039793,-1.3893687527259213,2.358999420645917,4.512753900705326,0.1929041503519295,0.957619864953358,0.4629339748483585,5.078746459070864,5.54605339180709,0.0295695298774719,0.1457048534737345,0.0,0.0,1.0,0.0,0.3666084989784507,0.379617782754186,0.9845837615621787,0.0085700440871259,0,0,0,6,0.5140811816107025,0.0,1.5140811816107025,0.162
2,0.0158728702697306,5.935906551124776,-0.3597612786076094,2.031305887985434,1.7681347890874275,0.9249214039703502,0.889405886966188,1.5162490755993492,5.098045999744687,1.3315250668961474,0.0452150163570617,0.159556634784498,0.0,0.0,1.0,0.0,0.4761560366565149,0.4367233841374213,0.9919928825622776,0.0053674835293383,0,0,0,6,0.5241317521697384,0.0,1.5140811816107025,0.162
3,0.5188145479077221,5.777910183469541,1.0495319084496302,0.8837801501228398,1.6606026274853314,0.7332066337679062,2.510927203081658,-0.1317310072091766,3.971414899757892,3.924243410174988,0.0372374602853329,0.1561719609301091,0.0,0.0,1.0,0.0,0.4828079990667815,0.3892911635529587,0.9900249376558604,0.0177584180878002,0,0,0,6,0.5223460304919647,0.0,1.5140811816107025,0.162
4,0.4473110710902114,2.4376529414448487,-1.164162527996918,3.398416068798193,5.376658704975005,0.9379508163842026,5.360552891992721,-0.7297762201028346,3.6227282005027286,3.407710862956137,0.021754014012673,0.1533103063505314,0.0,0.0,1.0,0.0,0.5968443681699845,0.2386059290244662,0.9567510548523208,0.0074910308696743,0,0,0,6,0.5176289637009673,0.0,1.5140811816107025,0.162
5,0.99614519427955,2.1662846233016184,-0.3214982903113705,2.075242283745805,2.864139677242444,0.4807183146756649,0.1128563811590519,-0.0094034529922766,4.30423196865558,0.344004917726869,0.0207092555081633,0.0585166679118925,0.0,0.0,0.3244653889055581,0.0,0.2094911619941124,0.1330678426995689,0.9281115879828328,0.0011087266516595,0,0,0,6,0.44683792401374894,0.0,1.446837924013749,0.184
6,0.8231480642131029,2.761043407337006,-0.993010678370304,4.544887952449612,2.196037772818689,0.3948608974984466,3.445077877066969,1.3216256817755911,2.279011545578897,6.010807018192597,0.0196658828909742,0.1391198228332401,0.0,0.0,1.0,0.2436918933623911,0.2212301505378526,0.2007346688254908,0.9639303482587064,0.0038062123830728,0,0,0,6,0.5078466631392655,0.0,1.446837924013749,0.184
7,0.6799349542708674,2.250827507373093,1.1300434018933752,3.667922281956107,5.645923447090709,0.6698563836868412,3.247051208859356,0.2025298107119171,0.6342580767524805,0.5104696231545884,0.0268144860047767,0.1292151008412975,0.0,0.0,0.7265425296052704,0.0,0.5481093821575487,0.2599356482733953,0.957487922705314,0.0043453849231061,0,0,0,6,0.499789462803802,0.0,1.446837924013749,0.184
8,0.6239435196324231,4.067222378569072,-0.9803926414908052,0.98189875349319,4.61183379222325,0.1068413600445802,2.714016686318482,-1.1247278522712476,4.247573932413131,3.667804502381226,0.0286988460157839,0.1713949331751146,0.0,0.0,1.0,0.254952063071117,0.4604721439724111,0.3390793962446213,0.9820245979186376,0.0,0,0,0,6,0.5315604824239286,0.0,1.446837924013749,0.184
9,0.3356361662630713,2.290891214516384,0.0776198159718202,5.318686029153482,5.090285261483079,0.3904064366258702,3.404765842229585,0.6115271741515502,1.2260053260015544,5.094389064275219,0.0272411849794059,0.1959309783367344,0.0,0.0,1.0,0.766013964716219,0.1972423791071847,0.3859944715573257,0.9941383352872216,0.0032142881594512,0,0,0,6,0.5498002022839648,0.0,1.446837924013749,0.184
10,0.1141377546831695,2.161505155703467,1.534423522152856,0.0374253538405954,1.893238651131956,0.196986409280193,3.5417479587161256,-1.4992050468344842,5.328167666290643,1.6309090524010006,0.0230848246383197,0.1463244203121862,0.0,0.0,1.0,0.2629453550045699,0.0539914929118925,0.4348316454308188,0.9936,0.0068625742220815,0,0,0,6,0.5148371216217271,0.0,1.446837924013749,0.184
11,0.67629404736996,0.624124026141749,0.1974947289992588,0.4336885342291793,2.2986167178567403,0.4219183207911738,4.803841675148576,-0.9256196505655312,1.484446127794369,5.988889582906534,0.0187102869311966,0.1441551023469823,0.0,0.0,1.0,0.2629093943120189,0.2774849761860232,0.1849757343694804,0.9453125,0.0,0,0,0,6,0.5100401532275013,0.0,1.446837924013749,0.184
12,0.7750368929890391,3.635247571512057,-0.2569214279674641,0.5765048456827722,0.7836540398536624,0.3283503395345869,5.175481829861268,0.591455252116369,2.795164606171521,4.815484431893406,0.0196505954412192,0.1159266338389448,0.0,0.0,1.0,0.0,0.0,0.3892210280893867,0.9790660225442834,0.0052065753276762,0,0,0,6,0.49255844858596154,0.0,1.446837924013749,0.184
