# algorithm: GDE3
# population_size: 100
# num_evaluations: 10000
# run_idx: 3
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.2119027262086706,4.018263251122277,0.9180195529070132,0.5842524504450773,0.3208265912993934,0.9570718854065252,4.91914185715641,0.2133806025773394,0.9474558064259496,0.2817428514407961,0.919629320828782,0.93929032159677,1.1650135766981706,0.1216560815393228,0.0150728045247461,0.0015701861586422,0.0,0.0,0.0,0.0,0.0,0.0,0.2768273716951788,0.006669715855058,0.0,0.0,0.0,6.0,0.3696174757382492,0.0,1.369617475738249,0.21
2,0.1514853009389676,1.961990418725389,-0.211922844651246,0.7992091284502891,0.1956331696381088,0.7474366325718087,1.3544857852673535,-1.4033046210832176,0.1804276079601424,0.0638816582544812,0.8766819601538891,0.6017844730053347,0.7823104465925134,0.9003297925761796,0.0706180040705706,0.0025961660146543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058885959054307,0.0,0.0,0.0,6.0,0.3532875644650253,0.0,1.3532875644650253,0.216
3,0.6087377935231654,4.819684217265822,0.0021924134899247,0.0427332071400869,0.5513782933165181,0.5772751352658366,4.883017734671871,0.5428135522963529,0.0720225715536041,0.1780840752330544,0.8575882763279172,0.9817580774795356,1.346161227461654,0.2502208595977292,0.1112708941666297,0.0036819716141654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2177562950641752,0.0,0.0,0.0,6.0,0.36575037029789265,0.0,1.3532875644650253,0.216
4,0.5667613701431672,2.477696662251073,-0.8425225209957419,0.3680299218505724,0.6157194309385141,0.1945880100985241,0.7507400193850289,-0.2757534983067753,0.0184380687289543,0.6908943116357874,0.0993751948111047,0.957658731156137,1.3345748959606631,1.1337859998560256,0.0542164135024961,0.0016610038926619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031161105082137,0.0,0.0,0.0,6.0,0.35312447708871847,0.0,1.3531244770887185,0.216
5,0.2511211551704594,0.6574708335778426,-0.0686586466679008,0.5608062140498535,0.7040482885139562,0.6310618542135537,1.5394907410846426,0.0160426226486427,0.8904724837308232,0.7593158341690252,0.5613347629851607,0.3239367222025118,0.2203580737629056,1.3752165286992948,0.0989600270627542,0.0021705247455235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200731044321873,0.0,0.0,0.0,6.0,0.35412194731954044,0.0,1.3531244770887185,0.216
6,0.7869017778783278,2.2968836198869687,-0.2822653846731315,0.552315506239865,0.1120881371190909,0.056508445166324,5.887878880634548,0.6279033653477692,0.9203733183415862,0.6198572282293181,0.5731824222462766,0.4693818224053421,1.948898539981902,1.433244986466249,0.0153392001222525,0.0037537865516692,0.0,0.0,0.0,0.0,0.0,0.0,0.218562874251497,0.0227992670310619,0.0,0.0,0.0,6.0,0.3671389494872093,0.0,1.3531244770887185,0.216
7,0.9558078787444916,5.989218230783374,-1.4927827142426997,0.8436604050068962,0.5601685150010812,0.4458462891010978,2.6397203398903377,-1.4847492737140768,0.693744495575491,0.934631793515125,0.1156245683417789,0.7601303120289471,1.132010402253857,1.9056378404031935,0.0260128026583417,0.0036643336003825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297937113815871,0.0,0.0,0.0,6.0,0.3546937477283287,0.0,1.3531244770887185,0.216
8,0.6485433472982052,3.463368386672342,0.906002237127458,0.1577090116032006,0.4072949529140558,0.3941450102408875,1.8446029057761888,0.2694940091543396,0.0656390042893033,0.9053793733368892,0.774691376261497,0.942111751478199,0.4307099272348303,1.6215145063800591,0.0721685348857019,0.0035058608785819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689643998531134,0.0,0.0,0.0,6.0,0.35699790587371255,0.0,1.3531244770887185,0.216
9,0.830047279044168,0.4883823406408451,-1.2796630250534191,0.2282632912736383,0.6672348766965949,0.0018322279464246,0.4486682058655997,-0.4435612023136372,0.3575727597292734,0.6534741187252538,0.8416487950775827,0.8416586423557878,1.3643878604212707,1.847092363409218,0.1088344048431161,0.0013018050781388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0424336774752169,0.0,0.0,0.0,6.0,0.35543727514560103,0.0,1.3531244770887185,0.216
10,0.5979069168329778,5.532525189426098,-0.7853423783622024,0.0502576243954651,0.3383874076558657,0.3446510980112166,0.5106795853495744,-1.281910952729206,0.1111899148799146,0.2501866324077238,0.1364995860091069,0.7931240059634006,1.875868496435293,0.069744263669322,0.1205378871151218,0.0015481310279435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3934586117455724,0.0,0.0,0.0,6.0,0.376085800690916,0.0,1.3531244770887185,0.216
