# algorithm: RVEA
# population_size: 100
# num_evaluations: 10000
# run_idx: 0
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.9521426972954208,1.885137298580128,-1.066672355618746,0.8863046660865599,0.4463944154832029,0.907875594354326,1.0067577117452575,0.5061655905185143,0.4402637528294918,0.0764867690302854,0.6964631446525006,0.2473987555391537,0.0792310451590354,0.1198885964991465,0.0960330002936275,0.0013618563112582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333
2,0.7592824517166681,2.290501437874287,0.0033400559671534,0.3763891551943512,0.3649118360212381,0.2609044993810597,3.116273272688104,0.5709528762937177,0.2773402713052435,0.52437981107722,0.1173802941705571,0.1598452868541913,0.0936127094243775,1.9414628855412657,0.0412192619148083,0.0026477826561114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496397220105638,0.0,0.0,0.0,6.0,0.35586116011826846,0.0,1.0,0.333
3,0.1024137584524164,0.9825855598947246,-0.6151279520345698,0.0753590690833403,0.4246630028405929,0.1076177051495819,3.5702164358273105,-0.7962148559925877,0.5964330653496227,0.1175256429036376,0.9758838684185334,0.9325612038573404,0.7835938771293316,0.4843571882521709,0.015306826203874,0.000684851036401,0.0,0.0,0.0,0.0,0.0,0.0,0.351063829787234,0.0117671935859085,0.0,0.0,0.0,6.0,0.37428417784547896,0.0,1.0,0.333
4,0.1856359443059522,5.986566539889415,0.5890117917341731,0.2155076771135584,0.9473705904889242,0.7308558067701578,1.595562397634116,-0.9006569857745029,0.5182007139306632,0.0256627180545315,0.2074700754411094,0.4246854687515062,0.7483399606684511,0.9271508487296214,0.0149471113852794,0.0041245173051838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235008469772934,0.0,0.0,0.0,6.0,0.3543235792339584,0.0,1.0,0.333
5,0.2748235698675966,3.7210934656291865,1.2464619399075834,0.4067333458357483,0.5520782766919708,0.2716527676061459,2.861639988065313,-0.308776035198766,0.248413465082971,0.5058663838253084,0.3103808259798114,0.3730348638807474,1.0499408845085283,1.501190045857975,0.1155668878811284,0.0020714947770262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0209407342036208,0.0,0.0,0.0,6.0,0.3541729843649189,0.0,1.0,0.333
6,0.729990562424058,1.0783810664450573,0.0660884475073539,0.0543379883392536,0.1999965248964,0.0185217944606139,4.986949748077527,-0.8673161718270203,0.3453516806969027,0.9280812934655908,0.7044144019235328,0.0318389295313078,0.3293883129958255,1.242956802999527,0.0286788157108843,0.0036343412715599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0209102628567602,0.0,0.0,0.0,6.0,0.3541711919327506,0.0,1.0,0.333
7,0.5189899203864318,0.4151568438155322,-0.0866646372805362,0.4382559469717035,0.2027960411869952,0.4235876367143044,2.2478590807812417,-1.0565670544526045,0.4413741433324861,0.262799956324489,0.5220624206822644,0.0351600597161941,1.8124628395745683,1.632728611039712,0.0915972740701032,0.0020609145587649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2179887549230585,0.0,0.0,0.0,6.0,0.36576404440723875,0.0,1.0,0.333
8,0.8820414102298896,2.8814936743987274,0.7042434003514106,0.399025321703102,0.9040443929009576,0.6900250201912274,4.395855011845646,-0.5412323208315548,0.7567786427368892,0.6360610554471413,0.2400202733797095,0.1605388224852564,1.5927829490346634,1.918333206070445,0.0148612509983808,0.0011827933718927,0.0,0.0,0.0,0.0,0.0,0.0,0.1012461059190031,0.0031651462365117,0.0,0.0,0.0,6.0,0.35908301483267735,0.0,1.0,0.333
9,0.2274146279733232,1.5981689090456253,-1.3884923430274243,0.4344166255581208,0.3117958819941026,0.6963434888154595,2.37348480640258,-1.0065547328158375,0.0246787283913312,0.0672496314632485,0.6793927734985673,0.4536968445560453,1.0731584222174444,1.7933425860806842,0.0729243499801723,0.0036653319701197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0100073108380345,0.0,0.0,0.0,6.0,0.35352984181400204,0.0,1.0,0.333
10,0.3895485073455688,1.6573012520142956,1.3968328905920289,0.1355484331085064,0.720265852504758,0.9253950252924408,4.176217047501087,-0.2417316055004676,0.198990939925484,0.3674753222519272,0.7068718094201221,0.6495342241752968,1.855952333196716,1.7337218273187498,0.1173075619794354,0.0029124803490015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0655767814813433,0.0,0.0,0.0,6.0,0.3567986342047849,0.0,1.0,0.333
11,0.652999760945243,2.1632326210575057,0.153464499594899,0.8152250407163727,0.098610368722811,0.8010748802553047,0.2587402598255753,0.9940659871043268,0.8075638041598735,0.0510073088287558,0.6271607114618583,0.5024530743128972,0.3396390063434293,0.2967578753547513,0.106324383281593,0.0034384829848186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01385545750085,0.0,0.0,0.0,6.0,0.35375620338240293,0.0,1.0,0.333
12,0.2586840668894077,5.334665024750629,-1.466166756705244,0.9589827218634736,0.3553688484719296,0.3567068904025429,0.1025950081505158,-0.988871814625546,0.4012595008036087,0.929291417302714,0.0996149302212713,0.9453015334790796,1.7389770610932644,0.9083247938151036,0.0989399082651617,0.0040384771530884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0515183115706103,0.0,0.0,0.0,6.0,0.3559716653865065,0.0,1.0,0.333
13,0.2885699576516956,5.494016711563698,-1.2175954929778905,0.212434361294041,0.1830332920799211,0.4030260024042886,4.682436784899825,0.0845322442691713,0.4876763235382075,0.0005459648969956,0.4254017253550547,0.0635537748361584,0.4165065042429676,1.8647878779209888,0.0146727789531763,0.0042136279705093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066375023537172,0.0,0.0,0.0,6.0,0.3533316177855128,0.0,1.0,0.333
14,0.6803486660150015,0.397145178847099,0.3369338454967612,0.4776465028764161,0.2839999767621011,0.238413280924058,3.2327789090514103,-0.4149177427266606,0.4565198912626553,0.3374773817642399,0.9704936935959776,0.133439431745604,0.1936079063567484,0.6867834575818321,0.1038251985739522,0.0020706734199533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6749125406273146,0.0,0.0,0.0,6.0,0.3926419141545479,0.0,1.0,0.333
15,0.8830775973191353,6.073170510111444,0.8631450863384762,0.994233083220762,0.6147698861442988,0.0371296038914478,0.0895449105973863,-0.4960453056900746,0.8234717190675371,0.866134706324731,0.960812528822678,0.0651214685488184,0.0891422219753281,1.8265671927340676,0.1005084288157474,0.0032041711809742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0472254414252421,0.0,0.0,0.0,6.0,0.3557191436132495,0.0,1.0,0.333
16,0.2930202845077967,5.334069673366928,0.3703205493575601,0.0132368577588994,0.3472335179322195,0.148140860948165,6.169015996263147,-0.0679516845025762,0.4973913654986627,0.6394725163987236,0.3685846061296175,0.1369002716855989,1.644235466388491,0.3796958238055159,0.0696850001970535,0.0029607534739934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0412506554498155,0.0,0.0,0.0,6.0,0.355367685614695,0.0,1.0,0.333
17,0.482584241712101,4.585642276331112,-1.3534525941769164,0.8791733376874045,0.7348137746305611,0.1764993888890601,5.900922025055189,0.0198304366196906,0.9998085781169652,0.1972594743007376,0.5349081983832014,0.2902480425599284,0.6083471147784931,1.1821307616679804,0.0763305677949166,0.0611957289503939,0.6624800229324216,0.0,0.0,0.0,0.0,0.0,0.0,0.1273555617564362,0.0,0.0,0.0,6.0,0.3994020932169916,0.0,1.0,0.333
18,0.2817301057539491,3.684523740162667,-1.369874932590842,0.4856275959346229,0.9774951397444468,0.8765052453165908,2.124715357672518,1.4500654066238772,0.2317016264712045,0.9493188224156814,0.9413777047064986,0.7992025873523917,1.2608958737335825,1.748575933249894,0.1111169340861618,0.0038027255542344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0179839033535317,0.0,0.0,0.0,6.0,0.35399905313844304,0.0,1.0,0.333
19,0.5772285886041676,1.4947246799438103,1.364123505966386,0.613965955965896,0.5356328030249583,0.589909976354571,4.587492008307907,-0.5907922206720781,0.3982210622160919,0.2098437489751221,0.1861930058803361,0.9443723899839336,1.4791015900985751,0.9809176172351342,0.0942452716177671,0.0035419915556668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1022652849559531,0.0,0.0,0.0,6.0,0.35895678146799725,0.0,1.0,0.333
20,0.6964824307014501,5.112493736572474,0.0308102168586794,0.3339648695968091,0.7908401632274049,0.0972429256324246,2.777391824234425,0.0626822333734171,0.6939564109345475,0.0908857320324094,0.2277595015378609,0.4103015626901256,1.2465893460402613,1.773921562434835,0.0236454439923322,0.0034565312847579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085489608349838,0.0,0.0,0.0,6.0,0.35344405651970495,0.0,1.0,0.333
21,0.9689717046703518,5.685958148515776,-0.6391373430937128,0.992011243414474,0.2494200410564512,0.1059061548822322,5.975011473607315,-0.8374849670172725,0.6897682650777505,0.0583563589805886,0.7307090991274762,0.8817202123338397,0.544873790931925,0.7581137921548571,0.1154978032546535,0.0021953878761339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297777907652376,0.0,0.0,0.0,6.0,0.35469281122148455,0.0,1.0,0.333
22,0.9217190668708332,5.059622025777856,0.7035326523663898,0.5591737821017022,0.9222985036674476,0.4923614066908841,5.490449503853433,1.0492342788366686,0.2138353468015865,0.7712254629659102,0.0121711569432587,0.3228295375480875,0.4591348893838995,1.0137259169746269,0.0982737721197081,0.0023485842473929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0778704018755472,0.0,0.0,0.0,6.0,0.35752178834562043,0.0,1.0,0.333
23,0.0553743204211979,1.8950001088360844,-0.7473278747709704,0.4561405668004796,0.6832813355476804,0.6956254456388572,1.7814014511535727,-0.3772205932383448,0.181150961736903,0.7885455123065187,0.0568480764332403,0.6969972417249873,1.5573907918822067,1.5548151236975063,0.0938617979949432,0.0024495814863953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078450276352082,0.0,0.0,0.0,6.0,0.353402648684424,0.0,1.0,0.333
24,0.6396222429637416,5.959854483320434,0.8742303628476322,0.848345269790006,0.4904199084362751,0.1853485869793828,6.256892017388714,-1.164413218216201,0.4714573193542654,0.0680930992421066,0.9438508573508196,0.9649249408484396,1.4387781240079471,0.6999856872603378,0.0764809903403349,0.0045628910880365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1218740208505094,0.0,0.0,0.0,6.0,0.36011023652061824,0.0,1.0,0.333
25,0.6940873750829799,4.908379399258328,-1.040099282195319,0.3740626250073257,0.4137802198582661,0.686380230000473,1.8591441184835011,-0.6179766545697407,0.3558891546408681,0.8103020815432322,0.5775900900433487,0.0752772798327344,0.1564921993809376,0.7425738885649986,0.037578392899212,0.0034374020598147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205801916974717,0.0,0.0,0.0,6.0,0.3541517759822042,0.0,1.0,0.333
26,0.6756891476442668,1.5386859789752263,-0.8907757859963982,0.1660478245212456,0.9227566102253654,0.2940766623831661,2.846875105772014,-0.0189820243575087,0.7781715954502542,0.8442349615530241,0.1390727011486128,0.4269043602110737,1.6857097756709143,1.6360666115116769,0.0153245121853093,0.0029291979743655,0.0,0.0,0.0,0.0,0.0,0.0,0.3119266055045872,0.0173946833255741,0.0,0.0,0.0,6.0,0.37231301699000946,0.0,1.0,0.333
27,0.8998667430000302,0.3573703589747432,1.5094902305094493,0.0964508606973841,0.8634706491935857,0.5665061069891627,2.3116937537116864,-0.4952960313768304,0.7573641432377087,0.3145732950042872,0.6573189166171418,0.5173260835160801,0.969931290316141,1.8023243412983232,0.0156258353423954,0.0035412961826616,0.0,0.0,0.0,0.0,0.0,0.0,0.4491279069767442,0.0160345571632569,0.0,0.0,0.0,6.0,0.38030367436117657,0.0,1.0,0.333
28,0.3742961833209161,4.7047753779647685,-0.823702840663806,0.171853099047643,0.4492916486877381,0.3044684073773195,5.272780762920498,-0.8239083527331431,0.5023894574892614,0.9425835996979304,0.6339976977446607,0.8672894054624648,1.880419378709535,1.501529723772704,0.0659906146197157,0.0038895308319051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0190266314003095,0.0,0.0,0.0,6.0,0.3540603900823711,0.0,1.0,0.333
29,0.5173085172022888,2.6646297010767817,0.1718068179316381,0.2870515199196297,0.7065747062729789,0.414856869333564,2.265374568213787,1.032506148319794,0.924966911953192,0.0460073108872969,0.2326269928297655,0.3485193694925632,1.6299329587404947,1.9709828552865951,0.0156253127414453,0.0038492914839826,0.0,0.0,0.0,0.0,0.0,0.0,0.4416796267496112,0.0107640655053838,0.0,0.0,0.0,6.0,0.37955551130911735,0.0,1.0,0.333
30,0.1623579479126667,1.8274073114324343,-1.005952761962202,0.3455056563563344,0.4800608878207556,0.5221758690021191,5.363364943075653,1.223486689291834,0.2201038607809063,0.6228940321857525,0.1114960572987155,0.4589698601820683,0.6446670760932363,0.6330014909072128,0.0434387848719564,0.0028275634859519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256245723582735,0.0,0.0,0.0,6.0,0.35444850425636903,0.0,1.0,0.333
31,0.0626360030598097,1.519913233620472,-0.2127440012328143,0.5219962736299825,0.7730835540548716,0.958740923056593,0.7371463185850955,-1.2346329060583887,0.5896947230135507,0.745398073947293,0.8481503803469849,0.9358320802167884,1.966852484521284,0.7996033844490518,0.0463431096960192,0.0023063066322605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0344380440497693,0.0,0.0,0.0,6.0,0.3549669437676335,0.0,1.0,0.333
32,0.6455702444560039,0.2221887367649825,-0.2186471847492461,0.5100168523182502,0.536177494703452,0.6813925106038379,1.744187722598621,-1.1659689209884785,0.3926756765470943,0.9564057227959488,0.1871308917508447,0.903983954928237,1.0876119001546527,0.9138228432915316,0.1016010999112737,0.0006532666548004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153485659079116,0.0,0.0,0.0,6.0,0.35384403328870073,0.0,1.0,0.333
33,0.2543824011176243,1.6669499506770735,-1.1708903516893174,0.5258089530767229,0.1418172757014775,0.3167306665534563,3.9377129216605447,0.7148493322616036,0.0242727046220612,0.4301159843767399,0.652124594842139,0.8532459761585128,0.9506495644241648,1.9384117434353705,0.1014999149791753,0.0010874166849932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0640333391855324,0.0,0.0,0.0,6.0,0.3567078434815019,0.0,1.0,0.333
34,0.4260023876695605,5.609044538023155,-1.2453949869553715,0.0180963582014751,0.5905853790479337,0.4355315405309334,5.018312553589637,1.3303248079439336,0.2991536445438161,0.3884041171691053,0.4862720863293148,0.5881514604352993,1.9677076593632332,1.394660501660103,0.098216563271616,0.0028918699065299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3415594793232336,0.0,0.0,0.0,6.0,0.3730329105484255,0.0,1.0,0.333
35,0.2594225643453549,2.348737215888566,0.2752023703901216,0.272821902424467,0.3708527992178887,0.1970542801856396,2.889359732235829,-1.430642648915237,0.799795884570618,0.0769564469866327,0.518835148831526,0.3068100995451961,1.155085897662751,1.9188666816668505,0.0152713016101445,0.0035820735731096,0.0,0.0,0.0,0.0,0.0,0.0,0.3285509325681492,0.0126913171360852,0.0,0.0,0.0,6.0,0.373014249982602,0.0,1.0,0.333
36,0.6145276998103207,0.44008805999951,1.0128706406860832,0.6534211611136369,0.7263424644178352,0.5369230010823904,0.6941481605629789,-0.2983394196189624,0.405373582848556,0.3210429900432169,0.0299503249047493,0.7372542425964773,0.2195689161250014,1.2126162660901705,0.0986558106270755,0.0029112451203335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099665936485955,0.0,0.0,0.0,6.0,0.3535274466852115,0.0,1.0,0.333
37,0.8735568272907714,3.0906500429856467,1.2533732364086028,0.1855178975231762,0.5326685874713607,0.3262696326493723,1.98889556141342,-0.1668909398030065,0.4330774491012684,0.3573468796779544,0.9149707703156186,0.7317441854328928,1.4550939826630591,0.5798268991839108,0.0940426310776875,0.0029792765075126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666641763290878,0.0,0.0,0.0,6.0,0.3568625986075934,0.0,1.0,0.333
