# algorithm: SMPSO
# population_size: 100
# num_evaluations: 10000
# run_idx: 0
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.4630073578150214,2.345588042336162,-1.1355619262068382,0.8665618499863413,0.0064350540811233,0.5027820800522084,5.644172606773922,-1.3169096249023295,0.5542704681782861,0.6166500426836184,0.0408957654848115,0.3790196043954357,1.406960784587494,0.9040418409000516,0.0507379613634022,0.0041268573072155,0.0,0.0,0.0,0.0,0,0,0.0,0.0495079455095686,0,0,0,6,0.3558534085593864,0.0,1.3558534085593865,0.215
2,0.725065368582209,0.9874475686619676,-0.8230589400613108,0.1109475279780146,0.5062690516689823,0.9238297864122956,3.7097714068170777,0.8614544478118527,0.3836648448526482,0.7460952169244286,0.1016694375794784,0.2911780789864071,1.3484720025107424,1.4514127044826095,0.096822883446158,0.0020663816636123,0.0,0.0,0.0,0.0,0,0,0.0,0.0789817160514569,0,0,0,6,0.35758715976773275,0.0,1.3558534085593865,0.215
3,0.421755395006955,0.5511131565378135,-0.7328280989631989,0.2098901301364817,0.2811844150845688,0.8095107007264697,1.253390043780573,1.2139105565077295,0.8793731884001769,0.0547893561110847,0.3788164022997503,0.4917117367620975,0.046966317843397,0.8494507035051821,0.0152178271094136,0.0018931778184324,0.0,0.0,0.0,0.0,0,0,0.2148377125193199,0.0205110542311703,0,0,0,6,0.36678522157355825,0.0,1.3558534085593865,0.215
4,0.9064106259549528,0.704007485521539,0.3042495566888104,0.1212324408021803,0.5787002980535503,0.8953034494235842,1.275820843637077,-1.544870144010584,0.0835035974769546,0.5397694402758588,0.0174648426532997,0.0848365617765347,0.9934832980869356,1.841852638098232,0.0663086730548019,0.0024813835539765,0.0,0.0,0.0,0.0,0,0,0.0,0.0464173197156647,0,0,0,6,0.35567160704209794,0.0,1.355671607042098,0.215
5,0.4201074247719361,2.501554861322188,0.4357939978550811,0.0934177987340663,0.5798001523715048,0.1725551928558607,3.825758323991868,1.4398733051927084,0.0541732033341713,0.5550607195736839,0.6063808191715755,0.1493044774617979,0.5366211047304035,1.9897678133142245,0.0697498650345648,0.0019570011454146,0.0,0.0,0.0,0.0,0,0,0.0,0.0423196046675478,0,0,0,6,0.355430564980444,0.0,1.355430564980444,0.215
6,0.997964270668016,0.7623742141636216,0.6454975848002173,0.9509227864901872,0.2367860984931864,0.6111274473735047,0.2703701404317427,-0.4211403661875428,0.6741247439537862,0.5902590421231942,0.7746250010111454,0.0867391144288399,0.694396303742616,1.728072119976707,0.1171310439765772,0.0034405736590189,0.0,0.0,0.0,0.0,0,0,0.0,0.0016929585590322,0,0,0,6,0.3530407622681784,0.0,1.3530407622681784,0.216
7,0.5841398266372709,2.8356015555156,-0.3073410606506954,0.9860716607190908,0.5744359250791319,0.0183666153173464,5.022588920352511,-0.5381166497668766,0.4335724943258435,0.2134272025652669,0.4440144693079391,0.3247095630668023,0.1776331261866319,1.2590203327668743,0.102810802877687,0.0025213927412629,0.0,0.0,0.0,0.0,0,0,0.0,0.0092575324355904,0,0,0,6,0.3534857372020936,0.0,1.3530407622681784,0.216
8,0.1030694359354987,4.9266378999801725,-1.491027865683223,0.7807213333281474,0.8075498225438462,0.4973306011116404,4.457592691962825,-0.7908619034044686,0.7376167555621276,0.4250070202935707,0.230953321574442,0.9640747737939594,0.8018080519121469,0.7459388815736947,0.1091476428025256,0.0026162877351596,0.0,0.0,0.0,0.0,0,0,0.0,0.0550152994501652,0,0,0,6,0.35617737055589205,0.0,1.3530407622681784,0.216
9,0.8599014994536613,2.320757190473998,0.5262336421952112,0.1710597551811155,0.8432737132572902,0.2589120569033496,0.3173244367630585,1.4930700335717408,0.172756152324086,0.9465192047075518,0.9861660981197824,0.6065576460087247,0.0237494714383239,0.1218214251166258,0.0499772215075144,0.0029269363741832,0.0,0.0,0.0,0.0,0,0,0.0,0.0307140131996709,0,0,0,6,0.3547478831293924,0.0,1.3530407622681784,0.216
10,0.2086018531514627,2.4433965929694037,0.3504405047999221,0.9664332926175452,0.3545311040059504,0.1406445092031103,3.5307238198313,-1.1394568981796724,0.0865882616303778,0.5559597335458571,0.6959881716812476,0.0655968891078776,0.9028008899468268,1.4076877767134528,0.055343917626703,0.0028176476523223,0.0,0.0,0.0,0.0,0,0,0.4156706507304117,0.0064762173124953,0,0,0,6,0.3777733451789945,0.0,1.3530407622681784,0.216
