# algorithm: GDE3
# population_size: 100
# num_evaluations: 10000
# run_idx: 2
# problem_name: next-to-tunnel_num=0_hor=1_ver=1
# variant: AFV
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.492226159757557,4.517034537889251,0.8592452966901303,0.789518628605835,0.8430350267578361,0.506986823539185,2.6864220516973263,0.3985098743421775,0.0470807437315111,0.6519397579984431,1.252647864961836,0.6751100172410092,0.0610481715398887,0.0029264680131234,0.0,0.0,0.0,0.0,0.0,0.0,0.3133640552995391,0.0125049653912211,0.0,0.0,0.0,6.0,0.37210994239357414,0.0,1.372109942393574,0.209
2,0.8009856357629808,1.7153001542153403,-0.5343230122210185,0.4620187219480058,0.1800441196111528,0.2604014311857712,0.2650865913004732,1.3214616505242178,0.4969097291552319,0.9573029620255183,1.1798146186701195,1.9691192006117708,0.070677554047997,0.0039042436271888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0602230255249923,0.0,0.0,0.0,6.0,0.35648370738382307,0.0,1.356483707383823,0.215
3,0.4467049542112717,0.1162496234763661,0.1628546589524726,0.163016243922042,0.4951604950302786,0.5311557757157478,3.766255851082746,0.2183390573489596,0.1701393623217398,0.0386592943125322,1.607690772375037,1.102684911140512,0.1112321692064952,0.0039058674504388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0519347248295703,0.0,0.0,0.0,6.0,0.3559961602840924,0.0,1.3559961602840924,0.215
4,0.5217875212757893,3.825862490813549,-1.1600695626963344,0.0940875447921471,0.7315479630886773,0.5595915429089807,2.595994775160697,-0.0709139138193875,0.8978668417205506,0.9487652121388556,1.9493537169527797,1.6611808564902686,0.0158817513955103,0.0038097471952542,0.0,0.0,0.0,0.0,0.0,0.0,0.5206106870229008,0.0090746047404368,0.0,0.0,0.0,6.0,0.3840991348096081,0.0,1.3559961602840924,0.215
5,0.2313389880113662,0.4644384659039958,-0.8197860515085126,0.0524187696218175,0.6569680826019725,0.1878547754224599,4.149698438457558,1.0365641374031482,0.9187739895215457,0.8759095868932393,0.2056929666239709,0.3554552372190285,0.0161202799237047,0.0013774360496053,0.0,0.0,0.0,0.0,0.0,0.0,0.553763440860215,0.00908699149071,0.0,0.0,0.0,6.0,0.38605002543240735,0.0,1.3559961602840924,0.215
6,0.2176100460059701,0.2575824551727093,-0.2713735219729234,0.6083524989400457,0.0346539744408834,0.371296333623918,0.9685219066803658,-1.5017603308547005,0.9674185837591448,0.0822686910339443,0.0768111941779752,1.2540359271662302,0.0866281872176593,0.003553234811494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6126621251410003,0.0,0.0,0.0,6.0,0.3889801250082941,0.0,1.3559961602840924,0.215
7,0.1175664609419459,3.2519220559611863,-1.2859641425369768,0.1578982611425841,0.0679587697042571,0.1000530820860339,4.289027399727921,1.1413859640105746,0.0286938199650918,0.8592963222548191,0.3042357121299363,1.281137463002128,0.0722208189685818,0.004128102051296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0528231394163867,0.0,0.0,0.0,6.0,0.3560484199656698,0.0,1.3559961602840924,0.215
8,0.4627567656327009,1.6021738896351234,0.6578195598035497,0.1006546243209228,0.0925663064769892,0.1400364633742271,2.8601975856386885,-0.7274220963897771,0.8112614229276639,0.2545792604307585,1.2626422565367976,1.223429730204486,0.0156049275095952,0.0021071815949776,0.0,0.0,0.0,0.0,0.0,0.0,0.4158125915080527,0.0170372188593281,0.0,0.0,0.0,6.0,0.3784029300216107,0.0,1.3559961602840924,0.215
9,0.5185283703255851,0.9799020974885324,1.2014317672969137,0.2711954303546383,0.6942047675310539,0.599915261328509,4.689733496411007,0.8762581512482979,0.7314405448272379,0.4181100715552775,0.0806090466083437,1.886352373288636,0.0147017333244667,0.0029426573093865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146438519417494,0.0,0.0,0.0,6.0,0.35380257952598526,0.0,1.3538025795259854,0.215
10,0.8538439921665955,0.5276638788566517,0.1497635741267169,0.7556440405501945,0.6102238674469272,0.365028548518555,2.568191387271939,1.378495367055501,0.1177844943478521,0.0678827913300447,0.5810030411237375,1.4003006381350869,0.0659804733152357,0.0036610632172179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038431739838501,0.0,0.0,0.0,6.0,0.3531672455284618,0.0,1.3531672455284618,0.216
