# algorithm: RS
# population_size: 100
# num_evaluations: 10000
# run_idx: 7
# problem_name: next-to-tunnel_num=0_hor=1_ver=1
# variant: AFV
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.0763082893739571,4.900374296196336,-0.1934931060342382,0.7234651778309412,0.9779895119966028,0.5384958704104337,3.1486327343951435,-1.3444410155490512,0.2684389801018711,0.4998825008255599,1.358459992241881,1.607478072208751,0.1158826021137311,0.000575195951685,0.0,0,0,0,0,0,0.0,0.0220853656131959,0,0,0,6,0.3542403156243057,0.0,1.3542403156243057,0.215
2,0.3809411331485384,0.4142902860882791,-0.6655602288446758,0.9095935277196135,0.2133853535799155,0.4521239618176831,5.8509399808672455,-1.492573096442663,0.6005489174641225,0.9501295004136456,0.4606057580419296,1.0969798384720608,0.1170884444604076,0.003823924050067,0.0,0,0,0,0,0,0.1358936484490399,0.0178308580487422,0,0,0,6,0.3619837944998695,0.0,1.3542403156243057,0.215
3,0.9091283748867311,0.8367283049597695,0.073552791446281,0.7504098591020348,0.6690132408839138,0.4677528597449807,1.2871047943482103,-0.0290098149939264,0.372384689385059,0.4774011548515884,0.7317807715611859,1.6758359886185212,0.0919354417321214,0.002831932981338,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,0.333
4,0.7686475065195093,1.972886742395196,0.2281592114987607,0.2760490483306951,0.4528429325464004,0.3529783659443947,4.13056264548553,-0.4073040852306613,0.4590929778914314,0.7193241225090415,0.8259836582276692,1.8128465383286771,0.0146979693216292,0.002442932195117,0.0,0,0,0,0,0,0.0,0.0206189897646139,0,0,0,6,0.3541540582214479,0.0,1.0,0.333
5,0.1804516192026816,4.656587213162117,-0.2438691342185921,0.4264535726849423,0.6343798686338388,0.5229062010283453,2.606805483885536,-1.5663136493013854,0.092262345846752,0.7093943937252127,1.0486911935303944,1.3923209270339378,0.0792424853680225,0.0018341730091176,0.0,0,0,0,0,0,0.0,0.0228598739340686,0,0,0,6,0.35428587493729813,0.0,1.0,0.333
6,0.955468323002926,4.290874295881003,-1.4038876224818886,0.3088526848637971,0.592594687323373,0.2351204072574643,6.063091606139792,1.3981602303606273,0.8484008808376887,0.4723239962884022,1.6829534297967943,0.2622212846958278,0.0152883482246538,0.0025423235051603,0.0,0,0,0,0,0,0.380517503805175,0.0084260981516119,0,0,0,6,0.375820211879811,0.0,1.0,0.333
7,0.3087336572978354,2.909092141028162,0.7597853889584356,0.4858252287088966,0.1368761187974508,0.3435365297043583,2.0384297425504454,-0.6270025039898479,0.1655014004657874,0.414901772573252,0.8962413150054467,1.5498007516280343,0.1096181220811349,0.0011287311986851,0.0,0,0,0,0,0,0.0,0.5888322362331446,0,0,0,6,0.38757836683724384,0.0,1.0,0.333
8,0.7963907007825485,3.2822739768753912,-0.1236835723474552,0.7782136015438966,0.8872889518527348,0.6749187698667877,5.029558199372234,1.3795090029929025,0.0406558094366857,0.8756717248700833,0.5531261449022684,0.9515289988484884,0.0539848666193135,0.0032906590572921,0.0,0,0,0,0,0,0.0,0.0093750756108187,0,0,0,6,0.3534926515065187,0.0,1.0,0.333
9,0.7967609569319023,4.506565855520413,-1.1085185957892982,0.6587482589541455,0.0692520700098354,0.3570706283528789,5.107158686829992,-0.2271219654506946,0.5998544375434464,0.7281612831471338,1.642455216613119,1.5210302399605662,0.0352098844947828,0.0038717554328478,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,0.333
10,0.0071432752789984,2.6405515625730875,-0.1158109865948924,0.0554995031127226,0.5414421320952196,0.6077707514438672,5.20532494248564,1.3879847512381374,0.1281478540027328,0.2304306744102194,1.3183167941411218,0.2649479776334971,0.1199015610439017,0.0015356560792743,0.0,0,0,0,0,0,0.0,0.2960139956212517,0,0,0,6,0.3703537644483089,0.0,1.0,0.333
