# algorithm: SMPSO
# population_size: 100
# num_evaluations: 10000
# run_idx: 0
# problem_name: next-to-tunnel_num=0_hor=1_ver=1
# variant: AFV
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.8732792136834817,4.615033136995804,1.3787564803998436,0.5634267632775163,0.2438239959625557,0.6592720314273861,5.837013359442199,0.2915213195026573,0.5634604038225958,0.1651320908352738,0.4933211148036032,0.0860233856196373,0.1180410849377705,0.0021653991503311,0.0,0.0,0.0,0.0,0,0,0.0,0.066717313818581,0,0,0,6,0.35686572434226943,0.0,1.3568657243422695,0.214
2,0.2047988748896543,0.6722122493192415,-1.5365078098848204,0.5739008692534285,0.755811936740066,0.6243903968095199,1.1562312086315618,0.4505293072125855,0.4052687904625611,0.6112258323565931,0.6820010828447025,1.6449457612571852,0.1013914313238573,0.0009802067961099,0.0,0.0,0.0,0.0,0,0,0.0,0.0296974010140654,0,0,0,6,0.3546880824125921,0.0,1.3546880824125922,0.215
3,0.6107701523742705,6.010403186054991,-0.3389890592688573,0.9012764652065888,0.946673456436916,0.3471583724605936,2.0809493377570503,-0.6382833496707467,0.0422635216927854,0.2861998124706049,0.6178788964640762,1.9379007744582668,0.0508795481898966,0.0040206897844845,0.0,0.0,0.0,0.0,0,0,0.362406015037594,0.0107680814101105,0,0,0,6,0.3748925939086885,0.0,1.3546880824125922,0.215
4,0.5715328000301452,1.3073837789444855,0.5838996961449068,0.754768529348192,0.0570423341057558,0.3746262845859608,0.5833403390332198,-1.21338197016311,0.1813678853561876,0.6743023578500038,0.8506616477459266,1.2095966844243808,0.0715621911537482,0.0040191038092015,0.0,0.0,0.0,0.0,0,0,0.0,0.0028337421356834,0,0,0,6,0.353107867184452,0.0,1.3531078671844519,0.216
5,0.3150179219074935,5.626388261392252,-1.1484746541064028,0.9370301087886028,0.6848343098766414,0.5352391362809987,1.9281719771844812,-1.2716561518033855,0.8258059813066781,0.4148906579867044,1.9740070112971184,0.2969611432009,0.0294298398162342,0.0027008805694942,0.0,0.0,0.0,0.0,0,0,0.0,0.0406353477862457,0,0,0,6,0.3553314910462498,0.0,1.3531078671844519,0.216
6,0.286495832029937,1.0411665807966397,-1.1274344450571083,0.1015146625274526,0.0999602053877529,0.1820250600257272,5.779789147425993,1.0867544460669678,0.0920858398541621,0.1902213942457022,1.3311176749124587,0.1246175675673186,0.1047030472799991,0.0034594952740106,0.0,0.0,0.0,0.0,0,0,0.0,0.0681423356636714,0,0,0,6,0.35694954915668653,0.0,1.3531078671844519,0.216
7,0.004186801940254,1.0647847868876306,-0.7177835399803635,0.6622882554342576,0.2008032985223313,0.6636435057579715,4.563170531307178,-1.4034720462435353,0.7391152500893099,0.9616255329411446,1.3214381559285424,0.2895478987666438,0.0145268437841087,0.0040256885764832,0.0,0.0,0.0,0.0,0,0,0.0,0.0157610840220942,0,0,0,6,0.3538682990601232,0.0,1.3531078671844519,0.216
8,0.2155795519463762,3.3259087784375807,1.512889257193029,0.5908949990544472,0.8786285796870127,0.560876247210398,0.931284526205027,0.977941212994756,0.7378200978529353,0.7778715223558227,1.2458700246944563,1.661214279664952,0.0147545730486416,0.0023547548556165,0.0,0.0,0.0,0.0,0,0,0.0,0.0215506724933022,0,0,0,6,0.35420886308784133,0.0,1.3531078671844519,0.216
9,0.1327554273550921,3.8955142914242007,0.7776185296419769,0.6891707944995634,0.0230673572797988,0.4613529501296953,3.557590203976844,0.0065891241148758,0.1597019002182825,0.5349808854693517,1.599291812734024,0.7383765266743427,0.098141439146657,0.0040324722537594,0.0,0.0,0.0,0.0,0,0,0.0,0.0198664944591146,0,0,0,6,0.35410979379171265,0.0,1.3531078671844519,0.216
10,0.4583974883080826,1.6227591194492914,0.7914015108612329,0.1230010704263216,0.425834324059834,0.9752128372150836,0.311994694071755,0.0427100341116841,0.650553660143732,0.8826610619052916,0.1478187875115406,1.0832673424267505,0.0154750031952174,0.0032460369842381,0.0,0.0,0.0,0.0,0,0,0.3545197740112994,0.0126901279924969,0,0,0,6,0.37454175894139974,0.0,1.3531078671844519,0.216
11,0.7265212895712173,1.856972256709848,-0.8118006587548486,0.6980834877777102,0.4369119308782003,0.6797545959396342,2.8650296077173154,0.0536272664437302,0.1783189728444237,0.5208982135789385,0.5340878629743027,1.5864078259226289,0.0784411664505131,0.0021485024988719,0.0,0.0,0.0,0.0,0,0,0.0,0.0035698203675259,0,0,0,6,0.3531511659039721,0.0,1.3531078671844519,0.216
12,0.1693861659039006,1.9408044520258236,-1.2835323957595632,0.5028803197490613,0.4388320024163771,0.838738138603883,1.5411535010850912,-1.5679201263413984,0.7514841908004584,0.8067786017977328,0.1029934615232612,0.5022183777977791,0.1071168501441967,0.001318440487973,0.0,0.0,0.0,0.0,0,0,0.0,0.2364722350530091,0,0,0,6,0.36685130794429466,0.0,1.3531078671844519,0.216
13,0.6322133795653426,3.8186673574173136,1.0960535905676383,0.7789870760691439,0.2187573105141447,0.3170450555640355,0.3861613153334228,-1.391165337087494,0.2415874144586011,0.4069724671658004,1.116821178063403,1.160124099793006,0.1133647313017684,0.0008404098844651,0.0,0.0,0.0,0.0,0,0,0.0,0.0150746989486024,0,0,0,6,0.35382792346756486,0.0,1.3531078671844519,0.216
