# algorithm: GDE3
# population_size: 100
# num_evaluations: 10000
# run_idx: 5
# problem_name: next-to-tunnel_num=0_hor=1_ver=1
# variant: CV
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.4579901034752802,5.447829126394083,1.1213560678477243,0.714545739836475,1.2818736446376375,1.2082104768967188,1851.8918286572843,493.3930771546909,0.9991802041827648,0.4988647512989462,0.5583853264527252,0.246029893345159,0.0993781785259893,0.0002354290875465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4995329483047451,0.0,0.0,0.0,6.0,0.382325467547338,0.0,1.382325467547338,0.206
2,0.8685502645512523,0.8574836531576182,-1.2031720170080753,0.9735437477575049,0.9384519442606992,-0.1014325093653154,3097.516253085113,622.6805620118531,0.2430492840540888,0.7366794288424675,0.2812366184692603,0.6525613158660992,0.0936543418924531,0.002397842412366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4171337326328053,0.0,0.0,0.0,6.0,0.37747845486075327,0.0,1.3774784548607533,0.208
3,0.4617347481520827,3.8273946482224974,0.8838053378976811,0.4318099247609855,4.416931202176778,0.7139267722923472,165.79482397630795,441.2420811323219,0.2630677941189676,0.3776455679685932,0.3501020312392687,0.1960397945924019,0.0690846671865276,0.0005225457137206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017801196353077,0.0,0.0,0.0,6.0,0.35304588939031223,0.0,1.3530458893903123,0.216
4,0.9687193162226378,6.200461134507343,-0.7913820447189182,0.5926245192637045,1.6971379375164908,0.6692225455650425,2819.067430127988,666.0828989327672,0.1289543517537267,0.6387662350676859,0.6018017165415117,0.0164542688488689,0.0823997665302236,0.0009543668064314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2581227436823101,0.0,0.0,0.0,6.0,0.36812486727543,0.0,1.3530458893903123,0.216
5,0.1755798033142099,5.009647143137548,-0.3313517058549193,0.7673694380447348,1.5977889970623769,-0.8275512275702098,-734.5784842081508,1131.0000478012769,0.6039568938870727,0.7669101975786549,0.2290125200776009,0.8402821040913996,0.1141401482661584,0.0482779157851117,0.0,0.0,0.0,0.0,0.5430328884322086,0.0,0.1032745591939546,0.0009894436682288,0.0,0.0,0.0,6.0,0.39101746419378774,0.0,1.3530458893903123,0.216
6,0.7538590003327671,1.7088673735568145,1.0713884581277338,0.1282154112605562,1.9913306565980136,-1.512914961653217,3289.243347569396,619.8372898438163,0.1514654651628896,0.807692618494461,0.2005862362190801,0.913098253817919,0.0795567601738893,0.0029168384318442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666039837119754,0.0,0.0,0.0,6.0,0.3686237637477633,0.0,1.3530458893903123,0.216
7,0.5873028872188479,0.3706614790386021,0.220532347244089,0.0618689298790531,4.967137063261516,-0.9119459684535604,2217.8314666732304,781.8921699849436,0.5759116102419366,0.9241036902431116,0.5183364305878757,0.3624847020045803,0.0994382732543205,0.003020922840383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181339629325404,0.0,0.0,0.0,6.0,0.3540078801725024,0.0,1.3530458893903123,0.216
8,0.5331376768517759,0.3801501958316796,0.7711648909343589,0.5440395521777783,3.544626487131216,0.608553717442955,3674.2060646796426,140.4802258558948,0.8400553408005753,0.8536782802682045,0.4894704414826755,0.669983339129207,0.0242723849291425,0.0591956597393452,0.0,0.0,0.0,0.0,0.6627852437723298,0.0,0.0,0.0523121836780076,0.0,0.0,0.0,6.0,0.39500573102649045,0.0,1.3530458893903123,0.216
9,0.3281373001860279,5.52020756169035,-0.1429361593206068,0.6017471257848337,2.3422535053359765,0.9729835867882336,46.372839216938246,-209.9741877582176,0.7223249431520952,0.2491582266629481,0.0203475876756404,0.6071640492635334,0.0375348196304916,0.0267737392222215,0.0,0.0,0.0,0.0,0.2773766376001519,0.0,0.2765685019206146,0.018869478247631,0.0,0.0,0.0,6.0,0.3866361539863763,0.0,1.3530458893903123,0.216
10,0.1801242767820154,2.253032521985045,-0.2407117601781008,0.7428600442808795,4.598512528797166,-0.0235702606662993,2252.2389148905463,796.3555906042559,0.0132979740182261,0.9730325185721082,0.4747463029335643,0.9590322651067774,0.0700329622117723,0.0037656493746921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0965935006467429,0.0,0.0,0.0,6.0,0.35862314709686727,0.0,1.3530458893903123,0.216
11,0.1697048347008511,1.636224917421457,1.0575057576552784,0.7995604254972369,2.86801700964048,-1.089190935924757,2560.827384972041,664.5012316459631,0.445953386522383,0.0952777655168033,0.8899249201097906,0.6832482646726052,0.0902857860524892,0.0036531662376893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0428530896503767,0.0,0.0,0.0,6.0,0.35546194645002216,0.0,1.3530458893903123,0.216
12,0.4138418644302457,3.632212523141992,0.4423240184964712,0.0837700047386175,5.983992888176665,-1.3288194862128464,-645.1620391100367,534.4283200271103,0.78303842173574,0.0773265953776376,0.9437401665474848,0.3306414804077544,0.0776468979433885,0.107697017110866,0.460752755968086,0.0,0.0,0.0,0.7328066382020825,0.0,0.0,0.163644247508765,0.0,0.0,0.0,6.0,0.43277668480464315,0.0,1.3530458893903123,0.216
13,0.9734199414966288,6.023460414098588,0.9262274441332798,0.2809720444511309,3.975102082089207,1.5213996907991914,2420.372564222999,481.484277916816,0.6965719922667204,0.5253566346723094,0.0194082128219247,0.3092105141211429,0.1069223490702593,0.0039574354281806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4264974180834291,0.0,0.0,0.0,6.0,0.3780292598872605,0.0,1.3530458893903123,0.216
14,0.6987212560513634,4.036503512894535,-0.69046876719317,0.4858964647359547,4.199947273307347,-0.8903537482130877,1735.0327966137877,598.3887941548903,0.2058981019157275,0.1779591315963292,0.5396772309674989,0.5085365022361881,0.07191054591624,0.0021426576515676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0107144057537044,0.0,0.0,0.0,6.0,0.3535714356325709,0.0,1.3530458893903123,0.216
15,0.7662798299735687,3.370665771749005,1.1629294275835722,0.5855583920123454,0.233517583579233,-1.5050138100066106,2075.200529386689,700.302880648683,0.4385320597241292,0.2366291718309209,0.5247301462283841,0.0290670154924042,0.1167511951650891,0.001170714753284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490827154496953,0.0,0.0,0.0,6.0,0.3558283950264527,0.0,1.3530458893903123,0.216
16,0.3047544315130344,1.3106228571073464,0.8697937658454644,0.9661471557171994,0.1800305499537901,-1.012825946126903,-46.274803911093045,863.5730206697963,0.3367207985789434,0.3483996139380756,0.1140243759093621,0.3905229686837597,0.1015343120746164,0.0345033501662782,0.0,0.0,0.0,0.0,0.3746455251162883,0.0,0.0,0.0242585807735034,0.0,0.0,0.0,6.0,0.37640612387587014,0.0,1.3530458893903123,0.216
