# algorithm: RS
# population_size: 100
# num_evaluations: 10000
# run_idx: 7
# problem_name: next-to-tunnel_num=0_hor=1_ver=1
# variant: CV
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.0763082893739571,4.900374296196336,-0.1934931060342382,0.7234651778309412,6.144889332352788,0.1209383436749631,1505.0420864697207,-141.92329996035767,0.2684389801018711,0.4998825008255599,0.6792299961209405,0.8037390361043755,0.0147477705033039,0.0008717937273886,0.0,0,0,0,0.0,0,0.0,0.0073695394274062,0,0,0,6,0.35337467878984746,0.0,1.3533746787898475,0.216
2,0.3809411331485384,0.4142902860882791,-0.6655602288446758,0.9095935277196135,1.340739718380646,-0.1504070098365511,3440.427088600598,-212.651158674478,0.6005489174641225,0.9501295004136456,0.2303028790209648,0.5484899192360304,0.0168929189968657,0.0443791347141787,0.0,0,0,0,0.4827325576766613,0,0.2025974025974026,0.0211455175899535,0,0,0,6,0.39449855752141283,0.0,1.3533746787898475,0.216
3,0.9091283748867311,0.8367283049597695,0.073552791446281,0.7504098591020348,4.203534165430404,-0.1013073789244483,171.82090634007784,486.1488336366057,0.372384689385059,0.4774011548515884,0.3658903857805929,0.8379179943092606,0.0685605797492777,0.0012224894968532,0.0,0,0,0,0.0,0,0.0,0.0204624537685371,0,0,0,6,0.35414485022167863,0.0,1.3533746787898475,0.216
4,0.7686475065195093,1.972886742395196,0.2281592114987607,0.2760490483306951,2.8452960602356594,-0.4618820854678565,2208.297582508912,305.52662448205285,0.4590929778914314,0.7193241225090415,0.4129918291138346,0.9064232691643388,0.0528670205539692,0.0013857655237301,0.0,0,0,0,0.0,0,0.0,0.0974391687285111,0,0,0,6,0.3586728922781477,0.0,1.3533746787898475,0.216
5,0.1804516192026816,4.656587213162117,-0.2438691342185921,0.4264535726849423,3.985926269770652,0.0719619528723005,1116.9869029774943,-247.85967915586272,0.092262345846752,0.7093943937252127,0.5243455967651972,0.6961604635169689,0.0722247390282734,0.0010692880041933,0.0,0,0,0,0.0,0,0.0,0.0359066647630078,0,0,0,6,0.3550533332213534,0.0,1.3533746787898475,0.216
6,0.955468323002926,4.290874295881003,-1.4038876224818886,0.3088526848637971,3.723382232502898,-0.8321437826458065,3592.369497912571,1167.5723356891908,0.8484008808376887,0.4723239962884022,0.8414767148983973,0.1311106423479139,0.0176931997397755,0.0409313662122402,0.0,0,0,0,0.4808203159985369,0,0.0759837177747625,0.0233506626150254,0,0,0,6,0.38706792331696027,0.0,1.3533746787898475,0.216
7,0.3087336572978354,2.909092141028162,0.7597853889584356,0.4858252287088966,0.860018018531911,-0.4915444888359526,709.9177635259935,200.62835647705964,0.1655014004657874,0.414901772573252,0.4481206575027233,0.7749003758140172,0.0820180356162106,0.0005108258557006,0.0,0,0,0,0.0,0,0.0,0.2758010865491375,0,0,0,6,0.3691647697970081,0.0,1.3533746787898475,0.216
8,0.7963907007825485,3.2822739768753912,-0.1236835723474552,0.7782136015438966,5.575000905503879,0.5495235223884638,2852.155720493086,1158.667030598278,0.0406558094366857,0.8756717248700833,0.2765630724511342,0.4757644994242442,0.0723102680923987,0.0031525096330192,0.0,0,0,0,0.0,0,0.0,0.0424024137104443,0,0,0,6,0.3554354361006144,0.0,1.3533746787898475,0.216
9,0.7967609569319023,4.506565855520413,-1.1085185957892982,0.6587482589541455,0.4351235887775702,-0.4490258639488007,2907.7329757366783,391.55724954132586,0.5998544375434464,0.7281612831471338,0.8212276083065595,0.7605151199802831,0.087593157228895,0.0397640264536283,0.0406297470433597,0,0,0,0.333075958933304,0,0.0,0.1648191736559718,0,0,0,6,0.3846191105666256,0.0,1.3533746787898475,0.216
10,0.0071432752789984,2.6405515625730875,-0.1158109865948924,0.0554995031127226,3.4019812490686725,0.3385718010079046,2978.0393774825643,1162.7139022871727,0.1281478540027328,0.2304306744102194,0.6591583970705609,0.1324739888167485,0.0774138650166747,1.7259690467874863e-05,0.0,0,0,0,0.0,0,0.0,0.1630824372759836,0,0,0,6,0.3625342610162343,0.0,1.3533746787898475,0.216
