# algorithm: RVEA
# population_size: 100
# num_evaluations: 10000
# run_idx: 2
# problem_name: next-to-tunnel_num=0_hor=1_ver=1
# variant: CV
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.6367722605778523,0.1572104487484413,-0.8819052778190655,0.4537084652911998,3.080132980379457,1.5259722112625642,3745.056444471956,-65.35398082756393,0.2761552026760093,0.0825858347939135,0.3414169186629845,0.9489179993614694,0.016379316581356,0.0537996315057051,0.0,0.0,0.0,0.0,0.6004300493349726,0.0,0.0324400564174894,0.0250125293562929,0.0,0.0,0.0,6.0,0.3916401550063973,0.0,1.3916401550063973,0.203
2,0.0960907001770309,1.0190286553041272,0.6102201891417462,0.1397634990477656,1.6752598910851677,0.95245509365997,602.7530273626483,645.5248233068821,0.5728122877653568,0.2654434715786691,0.2487342888926302,0.2896754906620162,0.0944806035859248,0.0001504191583696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0996903604782958,0.0,0.0,0.0,6.0,0.3588053153222527,0.0,1.3588053153222526,0.214
3,0.259744752747137,2.4309008429438093,1.0430618527594078,0.7367470562871129,2.3826502625349373,-1.5299011574659915,2838.322225646671,154.08319639445176,0.5826848885290346,0.0255509418496927,0.6622020192683258,0.3875234258732815,0.0150978021830127,0.0191951729884245,0.0,0.0,0.0,0.0,0.1793424132982851,0.0,0.0,0.0379336955688335,0.0,0.0,0.0,6.0,0.365722124051007,0.0,1.3588053153222526,0.214
4,0.2149243841306952,1.7945011845846095,-0.0898185817383414,0.549496821088408,5.310002310683728,1.5346984871908789,-530.093611967919,98.1773771542459,0.6433114272482352,0.1614665628916767,0.8701458933690015,0.2174024263050259,0.0528787464005542,0.0483241374115523,0.0,0.0,0.0,0.0,0.5667134235318226,0.0,0.0635838150289017,0.0170323354262878,0.0,0.0,0.0,6.0,0.3910193867051183,0.0,1.3588053153222526,0.214
5,0.5697826073002427,0.2510353772227789,0.0648143985573901,0.9330973092437728,6.112243820945852,1.2938913991620242,2666.682401309203,127.34592234090468,0.9005556371818463,0.2971707938978475,0.877628861896351,0.0413980052403548,0.0148136264447813,0.0016789137049376,0.0,0.0,0.0,0.0,0.0086525019173408,0.0,0.0,0.0348848539273712,0.0,0.0,0.0,6.0,0.3555021974026301,0.0,1.3555021974026302,0.215
6,0.5328408874958466,5.066353571845662,-1.4631167318549685,0.1540661208995098,4.700985172899577,-0.3616918850935138,680.5432058790466,608.0132194504787,0.3724205151363791,0.909529909991462,0.3869712250229682,0.8362491954172746,0.0909027501838752,0.0033048279910475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2224139152347252,0.0,0.0,0.0,6.0,0.36602434795498384,0.0,1.3555021974026302,0.215
7,0.3415696533192448,1.2718702891189508,0.1817757202266572,0.4483436404889377,3.972926681069968,-1.5377713164173692,1075.8041993351794,-193.67286653321747,0.3050530279643499,0.0862664386191233,0.5455394800273987,0.9204465606015444,0.023380002215073,0.0028589208460052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0191683105158556,0.0,0.0,0.0,6.0,0.3540687241479915,0.0,1.3540687241479916,0.215
8,0.5479077800903767,4.3952176803371295,-0.798557780103323,0.1866271455864802,0.6948144094545079,-0.7098137923793204,-703.8748227018409,694.0395842443733,0.2951723052197424,0.1872865447018977,0.0952880522608037,0.2837558074652546,0.092282371995529,0.0588022201016769,0.0,0.0,0.0,0.0,0.6701867724902936,0.0,0.0,0.2587045653222421,0.0,0.0,0.0,6.0,0.4075818434007374,0.0,1.3540687241479916,0.215
9,0.2449941384141697,3.173397638586196,0.5605277044988255,0.3327599576169492,1.9249460031732328,0.8664446917690283,-602.1572779719856,928.6967937825934,0.4285402814602093,0.6290094571685604,0.7055030249067997,0.0984686294214176,0.1013701557593883,0.0487007264827098,0.0,0.0,0.0,0.0,0.5741782188327159,0.0,0.0581560283687943,0.0186657751791339,0.0,0.0,0.0,6.0,0.39123529543415553,0.0,1.3540687241479916,0.215
10,0.2766734163504597,2.265230931954228,-0.9685214774960672,0.9903937285006212,5.801070399893887,-0.4018870813014277,-96.79966276102664,343.360237210644,0.1643044723429847,0.5382189951265482,0.1783542849593148,0.0490443468644091,0.0733467338601395,0.0001413718298046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1010638297872333,0.0,0.0,0.0,6.0,0.35888610763454315,0.0,1.3540687241479916,0.215
11,0.3974103292744294,0.022452544643906,-0.0148843556130928,0.7001977471477516,5.122494472346587,0.7960382015774989,2409.730196773913,47.14344222415076,0.3501053774260956,0.4594720626912786,0.1369623484867566,0.4273774694179545,0.0145997432966824,0.0020124135446425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0191995409493652,0.0,0.0,0.0,6.0,0.35407056123231556,0.0,1.3540687241479916,0.215
12,0.4970737987345126,2.6069302612556777,-0.4684997393145798,0.5509779053244193,6.112978151819455,-1.21649939750331,659.6633779337112,-187.3034352770349,0.7383997586209003,0.657512387659044,0.2146357463999536,0.4167534401953371,0.0278836311846715,0.0049495350686167,0.0,0.0,0.0,0.0,0.0308247626417466,0.0,0.116546762589928,0.00900687919603,0.0,0.0,0.0,6.0,0.36213990614280617,0.0,1.3540687241479916,0.215
13,0.4178362440027158,3.5397964988982107,1.1830039994607704,0.6775848402279094,5.292534619029156,1.3388251682477006,3485.0214313513,974.028727886591,0.1313946054794438,0.346630014990264,0.2085024945255225,0.8673815371565234,0.0757709238894535,0.000801943594768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1178590168510552,0.0,0.0,0.0,6.0,0.35987405981476794,0.0,1.3540687241479916,0.215
14,0.2060976351705836,2.916732216673989,-0.2680775765918024,0.2913377184329823,2.0327896107709345,-0.9060429132173984,511.20729496589433,-74.3424464551156,0.689251874777544,0.6445261893744574,0.3115294033429846,0.8802989561574968,0.038695821680444,0.0058958387519925,0.0,0.0,0.0,0.0,0.0504292032918019,0.0,0.0,0.0181887272038231,0.0,0.0,0.0,6.0,0.3569775253232721,0.0,1.3540687241479916,0.215
15,0.3532138917855185,1.03533462438018,1.2351680033589374,0.8248904812066794,3.308966806948338,-0.1148275483511791,1451.8557965720652,141.08002957917802,0.4026379231331474,0.43666987972703,0.01505613424837,0.8929058830787158,0.0413552172607774,0.0039601052770389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0227371871164704,0.0,0.0,0.0,6.0,0.3542786580656747,0.0,1.3540687241479916,0.215
16,0.4359949021420037,0.1628993188915385,0.1560192756628182,0.4353223926182769,2.641248797687487,-0.5330188799042264,170.9188531702913,678.9064495259955,0.2996546736745231,0.2668272751028666,0.6211338327692949,0.5291420942770391,0.094130573903124,0.0145249365246936,0.0,0.0,0.0,0.0,0.1488129891373936,0.0,0.0,0.0873155272940809,0.0,0.0,0.0,6.0,0.3668310892018514,0.0,1.3540687241479916,0.215
17,0.4426010959130247,0.8759834319167957,1.535429671181812,0.1982525747524259,3.893268895180641,-0.1770068051282913,2767.534606961894,-171.0556472472975,0.3243950640167801,0.4697726160751015,0.1136339246954815,0.6411773094303422,0.0156089861717325,0.0182063213716928,0.0,0.0,0.0,0.0,0.1822529493748799,0.0,0.1888,0.016259452276891,0.0,0.0,0.0,6.0,0.3757242589206924,0.0,1.3540687241479916,0.215
18,0.9134954904132798,2.8250772255193737,0.6177034529730769,0.3876390491667194,0.3208015268823918,0.5140941727608355,895.4725386698951,579.1699401971669,0.2665898405572778,0.203876080671906,0.2962049538125301,0.8418676325919996,0.0925333306692966,0.0005697276248451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1370836222435173,0.0,0.0,0.0,6.0,0.361004918955501,0.0,1.3540687241479916,0.215
19,0.9220077491054214,1.9114318373440704,-0.6974011386199643,0.9047349421426052,1.829456155678555,-0.8730628002768164,642.0102420400797,760.1973761478106,0.0216184565185371,0.1538163865238246,0.1109311411939547,0.5233251702256639,0.0924061235752237,0.0007600089260135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5008936037925176,0.0,0.0,0.0,6.0,0.3824055061054422,0.0,1.3540687241479916,0.215
20,0.4253672919053864,2.79334248831381,0.0239310401674519,0.5257332498109579,0.2665904750319172,-1.0542585335729004,1276.0223082781797,811.9567559283812,0.7775879083055336,0.7771029994696447,0.5027787525092214,0.9567475933072476,0.1149732312729895,0.0013024286569891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172604358538417,0.0,0.0,0.0,6.0,0.35395649622669656,0.0,1.3539564962266966,0.215
21,0.1699365346190926,5.937018187382479,1.2312390998379934,0.3982601025724094,0.8886667377875553,-0.1775862613770866,1200.8534061250057,-220.69188524283817,0.7189916241768497,0.6574379737614736,0.5865844854920392,0.8069426929025779,0.0210235609152651,0.0004795311581037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0194600940680084,0.0,0.0,0.0,6.0,0.3540858878863534,0.0,1.3539564962266966,0.215
22,0.8377738135504521,4.593607761192585,-1.0739864484922577,0.911628084253215,0.0120884870357056,-0.8068160452263999,-133.18187899423856,262.05963706487785,0.1479891520595972,0.2811734624986942,0.4004542060587625,0.4733859565483315,0.0763333390803598,0.000792775420113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0834811971953077,0.0,0.0,0.0,6.0,0.35785183512913576,0.0,1.3539564962266966,0.215
23,0.4236489364382932,0.8843040164687409,-0.6097292529305344,0.709361933483824,2.8040911503209105,-0.8379747307736357,324.44472802409973,789.7598795044657,0.647769477894342,0.0639250960799947,0.8125176994222678,0.1401841831673873,0.0999130544589606,0.0038392888480081,0.0,0.0,0.0,0.0,0.0404557526280781,0.0,0.0,0.0328067828033714,0.0,0.0,0.0,6.0,0.3572507373783205,0.0,1.3539564962266966,0.215
24,0.8555429798971551,1.2578707258660566,-0.0965481074628302,0.6127589268331601,1.6940234514740669,-0.0638885658909873,1637.1098449306885,417.2253074582769,0.363158653579688,0.2560214164472407,0.9061733781533664,0.5094801022579838,0.0816220332566556,0.0032241180656695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2539160008119729,0.0,0.0,0.0,6.0,0.367877411812469,0.0,1.3539564962266966,0.215
25,0.9240151916739524,6.148622019457312,-0.2691372663942721,0.7731865694302109,1.055908898119817,0.7673525132529075,1158.9284330976325,1016.1381337533152,0.1970202590597278,0.8189155413922887,0.0723253231135115,0.8461077117521706,0.0838555631667183,0.0032452778716166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2379122888916714,0.0,0.0,0.0,6.0,0.3669360169936277,0.0,1.3539564962266966,0.215
26,0.4464681083335515,4.79049248167238,0.4290266313177924,0.1852439749130981,3.639233245390359,0.4845653287124891,1921.831665880272,562.2149584902508,0.5918790685357836,0.7089911722935779,0.7709779736613112,0.0890501962977543,0.1014704953431958,0.0001031753564563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1960739588340981,0.0,0.0,0.0,6.0,0.36447493875494696,0.0,1.3539564962266966,0.215
27,0.643841934148195,4.156209752992121,-1.035226616637236,0.8816522357485486,4.888369438574395,-1.1499667704852743,3160.1248189443545,873.1668174152817,0.7985856540990809,0.5433452305839027,0.2208379150614619,0.9184586465896004,0.0167028601153813,0.0360216284425463,0.0,0.0,0.0,0.0,0.4042139951934047,0.0,0.0,0.0436834122712043,0.0,0.0,0.0,6.0,0.3792880827920358,0.0,1.3539564962266966,0.215
