# algorithm: SMPSO
# population_size: 100
# num_evaluations: 10000
# run_idx: 8
# problem_name: next-to-tunnel_num=0_hor=1_ver=1
# variant: CV
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.7542134152150399,1.105273717767418,1.2156616902578854,0.4601506532491166,5.418959054317643,0.5783956214832537,3195.180671579516,1042.788991494685,0.4859418845709884,0.1051321811703602,0.974406350914934,0.5312848741298254,0.0165807633746048,0.0361224934898313,0.0,0,0.0,0.0,0.3819298240739701,0,0.4265335235378031,0.0060629341921976,0,0,0,6,0.4008544871649395,0.0,1.4008544871649395,0.2
2,0.4539784590531664,4.35880738905843,-0.2533449207079867,0.4366495980182767,1.5781849278143447,-0.6146016169203443,697.0818934259933,-221.8877653557109,0.896093668815729,0.8392865537204568,0.1334049756982387,0.2607847840834332,0.0290950113277237,0.0053427336521223,0.0,0,0.0,0.0,0.0261123135664761,0,0.1994134897360703,0.0182408982712182,0,0,0,6,0.3672803942102214,0.0,1.3672803942102214,0.211
3,0.7845136926267394,5.568764880199674,-0.3082151621894871,0.587985162967144,2.2296313608201768,-0.2244744352599765,3179.488592630063,1202.8716068339843,0.3260060206444705,0.2260486710476643,0.5833692030919181,0.7547793896271844,0.0170820415522108,0.0323814123646732,0.0,0,0.0,0.0,0.3624820088092678,0,0.0455172413793103,0.0255058816203006,0,0,0,6,0.3784414783416987,0.0,1.3672803942102214,0.211
4,0.623838472096451,4.008923079102625,0.7779882888116441,0.6376757601139907,5.706979883917541,-0.5286162759456075,1895.5678215091948,165.3546908565101,0.73664511898024,0.3271565673148472,0.7734943052750327,0.9265575600861649,0.0306506471120666,0.0025594361735921,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,0.333
5,0.9280987684377472,6.2807356394518665,-0.967380065836003,0.5935071342701671,2.6193715123494594,-0.7295615030713605,1865.8435936711348,-169.19620504923012,0.1721753444310266,0.0787288401583407,0.7313395822948291,0.1122083493099381,0.0795024676678116,0.0003334752656705,0.0,0,0.0,0.0,0.0,0,0.0,0.2260397830018085,0,0,0,6,0.366237634294224,0.0,1.0,0.333
6,0.5719794423822049,2.9388892800706845,0.0732349096879709,0.9620742826201548,3.781632706645466,0.1569431216365615,2889.652809924364,-137.26620028137847,0.7996356311444184,0.1477412338812219,0.9814063974372648,0.8570084648709285,0.0157041537790484,0.0264993827163804,0.0,0,0.0,0.0,0.2659754666049524,0,0.1627906976744186,0.014532537292414,0,0,0,6,0.37901757068069325,0.0,1.0,0.333
7,0.2150621741263449,0.4959041363905945,-1.3629491866049823,0.1818089425901986,4.877592543086216,-0.0478309156447196,2411.0392361684003,1124.001706365735,0.6168519988629253,0.7890686876496873,0.3257140480740538,0.3181475851977082,0.0266711574585033,0.0083434670393932,0.0,0,0.0,0.0,0.0712153657535185,0,0.0,0.0186388073990494,0,0,0,6,0.3582267160677981,0.0,1.0,0.333
8,0.0053560111695698,0.9109647425484486,0.2568849616458775,0.5412927037934846,4.220476084367114,-1.0226645058597006,-22.45412381651761,219.3565365059133,0.3821549947436198,0.0399317359003872,0.971665958714359,0.0494479287705458,0.0527853322921236,0.0328148596961078,0.0,0,0.0,0.0,0.3809855448267494,0,0.0,0.0056819288106235,0,0,0,6,0.375686321978669,0.0,1.0,0.333
9,0.921573818256177,5.644226657549964,1.0762383746057926,0.5484088272960183,4.843830217700125,0.6275280365470639,2195.331227500562,-225.32556927116693,0.1496696010927295,0.2956268038143765,0.2626770184916421,0.26682363850422,0.0712586528305742,0.0006771327378237,0.0,0,0.0,0.0,0.0,0,0.0,0.0179536471704531,0,0,0,6,0.3539972733629678,0.0,1.0,0.333
10,0.8884964090829041,2.9258967907950315,1.4871216201270323,0.6131864407002231,4.81928747464479,0.5822276032342137,-549.5655184359505,891.2937668725463,0.7636488457654936,0.8148086689372261,0.2597933960607477,0.8589044842294145,0.0945774370777763,0.0513747215822644,0.0,0,0.0,0.0,0.5771022154348975,0,0.0309859154929577,0.0911800060610826,0,0,0,6,0.3940745962934669,0.0,1.0,0.333
11,0.5021362318077736,4.022239334112644,-0.2887578392165706,0.8592102830250247,4.041239093745442,-1.156574337746325,3276.7071893250086,-192.2438311760744,0.8836123492880613,0.3114601788994398,0.7101813529308388,0.0559284724941779,0.0162621913146501,0.0382394559686062,0.0,0,0.0,0.0,0.4471747221061555,0,0.2047244094488189,0.0,0,0,0,6,0.39128818420911615,0.0,1.0,0.333
12,0.9306149832426472,4.916682986243966,1.1872400940190282,0.8959937105693214,2.9311075354133207,1.056232764091266,1582.2495186624374,978.324684539921,0.9175432443247602,0.8231861158993455,0.5017842900955392,0.5776528416322049,0.1108842515816921,0.0019689586035563,0.0,0,0.0,0.0,0.0,0,0.0,0.0293000444098938,0,0,0,6,0.3546647084946996,0.0,1.0,0.333
13,0.9026829807451694,5.719918099283195,0.8830798651994254,0.938137354716588,1.76986929297924,1.0004350177537362,2953.641247879221,324.42548271555734,0.0649989097800394,0.577279126771768,0.5995321834460109,0.4417754545837711,0.0804983971263036,0.000157570047669,0.0,0,0.0,0.0,0.0,0,0.0,0.1711710533194421,0,0,0,6,0.3630100619599672,0.0,1.0,0.333
