# algorithm: SMPSO
# population_size: 100
# num_evaluations: 10000
# run_idx: 3
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.4140494573119142,0.4219911712887781,-0.7232401286534801,0.5301516578007797,0.321602318997335,0.7791672713309943,1.9818821143723664,1.2281309348690082,0.686960915779004,0.5068020879268901,0.0873407598976192,4.612258234758452,0.3935278000840995,0.1267639025616707,0.8562084308397794,1.2036756888353262,1.2583417199180915,0.0284814218955953,0.0020385739875792,0.0,0.0,0.0,0.0,0,0,0.0,0.0329798871266391,0,0,0,6,0.3548811698309788,0.0,1.3548811698309788,0.215
2,0.7137330324246087,1.38459036657863,0.7790810590180604,0.5343801847087283,0.4039751086714841,0.9424794121780716,6.12137424789319,-0.681537125174225,0.0420826159492295,0.4395663237922338,0.0205525461169541,1.5192034639924723,0.1971619190514774,0.771040202750053,0.6496238172794079,0.1762932012159253,0.1120910275891491,0.0742673372541793,0.0035670912712629,0.0,0.0,0.0,0.0,0,0,0.0,0.054984920437227,0,0,0,6,0.356175583555131,0.0,1.3548811698309788,0.215
3,0.6537318227008398,1.1347475843655412,0.9093238953588236,0.3729217607409701,0.3801488602998215,0.9676113931119448,5.525736231847932,-1.0157530574059126,0.4536817348093396,0.6276949206115264,0.9513694168282412,4.862828963837862,0.4348355661509075,0.6591914849632373,0.5521822121161235,1.9263840232901803,0.0388247265917052,0.077101922003736,0.0029935355698003,0.0,0.0,0.0,0.0,0,0,0.0,0.0675839939860866,0,0,0,6,0.35691670552859334,0.0,1.3548811698309788,0.215
4,0.9000847397636009,0.3312122018821084,0.598214416032083,0.906509729366389,0.6903856845190758,0.3876745784948083,3.410024940456552,0.4614468174511521,0.8758674985175096,0.7065879853028304,0.8429459261075757,3.1671517530607822,0.7506996205451577,0.1254204822942559,0.1500864847612955,1.440022410302659,1.8196743672547164,0.0150269805593132,0.0018851785149658,0.0,0.0,0.0,0.0,0,0,0.0,0.0308916404181104,0,0,0,6,0.3547583317893006,0.0,1.3547583317893006,0.215
5,0.7398265570959949,4.913291328909504,-0.7503318869606981,0.5671677598763629,0.1561112891581794,0.9541880594930872,3.4396732210283987,-0.4601671515723819,0.9270123944485446,0.2084624953173833,0.4633958944333771,2.4710218555742847,0.3705227854810033,0.0734101910762813,0.862785530958055,0.2267685570692319,1.1715894225336967,0.015961657917366,0.0026686996675213,0.0,0.0,0.0,0.0,0,0,0.0,0.0720189313807017,0,0,0,6,0.3571775841988648,0.0,1.3547583317893006,0.215
6,0.0076075236578566,0.7807334984066548,-1.026536545709424,0.1969262719026367,0.2651770473069955,0.2776885533514452,5.76144762542763,-0.222707850569686,0.4133559845419714,0.4676224410287487,0.1358350066747421,1.506086743953058,0.8234629828947461,0.5361600903518,0.749191906855023,1.6364565295232087,1.9584287915592933,0.0963447293735682,0.0017633830199638,0.0,0.0,0.0,0.0,0,0,0.0,0.1043527447288811,0,0,0,6,0.3590795732193459,0.0,1.3547583317893006,0.215
7,0.4764153380940428,0.8434031939419065,-1.323441432047576,0.7056481568662473,0.6809452912705674,0.0623762066120568,3.054588442766525,0.4882523365290518,0.4933943465258649,0.4661481184188785,0.8245531220023748,3.410986701651786,0.7364060887716907,0.8103467540417751,0.2640330399332359,0.7600814075809119,1.0268876968385006,0.0293603084035054,0.0030523827048236,0.0,0.0,0.0,0.0,0,0,0.0,0.0450713593783415,0,0,0,6,0.3555924329046083,0.0,1.3547583317893006,0.215
8,0.3467751010442502,1.113481720560261,1.3959510374318018,0.0815823070990433,0.4655405102084656,0.7576878076153474,5.456666485309776,1.503523802536317,0.7843137295545114,0.0132571881163091,0.0225074772094829,0.0682411566413033,0.1519243673573398,0.1653791102437569,0.6221174672135362,0.5244975459222863,1.658887742318934,0.1064607352594258,0.0046575302889905,0.0,0.0,0.0,0.0050934384871138,0,0,0.0,0.0360346903418887,0,0,0,6,0.3553604781664119,0.0,1.3547583317893006,0.215
9,0.4801308857844291,5.870187954988158,1.2327060843301827,0.0255181124270417,0.918421911171544,0.099255663870346,5.539973854808384,0.2710818521309426,0.3001594936300141,0.5208228195678316,0.8750166897003916,4.346100738339272,0.4002849714988412,0.8438458149560857,0.3473513496195263,1.7943719444443944,0.6913894227128581,0.1171419604803979,0.0038913119462094,0.0,0.0,0.0,0.0033174213358898,0,0,0.0,0.039228566962486,0,0,0,6,0.3554438816646104,0.0,1.3547583317893006,0.215
10,0.8440410915674068,1.996432290418,1.0958751966920175,0.0539466006451719,0.6960119466149008,0.9079997256363992,2.9890014677440826,1.0785785770183771,0.9138746915536348,0.0304805810482124,0.4490969201896398,1.7109564969648832,0.5129097425960646,0.6894626292360347,0.1324901413776213,1.999229437094715,0.5448009175156852,0.0146754380444032,0.0049535556742322,0.0,0.0,0.0,0.0067539925829816,0,0,0.2578347578347578,0.0052043663924856,0,0,0,6,0.3688113598123662,0.0,1.3547583317893006,0.215
