# algorithm: SMPSO
# population_size: 100
# num_evaluations: 10000
# run_idx: 5
# problem_name: next-to-tunnel_num=1_hor=1_ver=1
# variant: AFO
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.8143981766679618,3.064035923315536,1.4170152075348548,0.1774918228722289,0.7808103475732274,0.0876435528983438,4.603517323938784,-1.415584893391527,0.6159584460920857,0.3240684599536526,0.7155439531406863,3.988886141373175,0.2742705584296341,0.0926745919695009,0.3165692853095584,0.4071781003808259,0.2990127238778677,0.1175887617796054,0.0034686794195869,0.0,0.0,0.0,0.0037181156429095,0.0,0,0.0,0.0426152653968663,0,0,0,6,0.35566666947292797,0.0,1.355666669472928,0.215
2,0.0091144356017496,0.0624932222232942,-1.0455021609345418,0.3444005020107455,0.5126243923609968,0.474881742677446,5.067275231033663,-1.3262267976714042,0.5458563938371976,0.8384350807175388,0.9322331785782972,5.197494032342879,0.7405186486272645,0.582767740569684,0.1158041739285734,0.3538723477325878,1.5439720636236165,0.1157252908928391,0.0033550497216853,0.0,0.0,0.0,0.00385177457875,0.0,0,0.0,0.0397716742284078,0,0,0,6,0.3555072616945387,0.0,1.3555072616945387,0.215
3,0.5321556158671186,1.0549084239093844,1.0358840618306004,0.1700032773322112,0.0951710332924267,0.8903638431968216,3.2525264842612747,1.4689404146387806,0.0318044458744207,0.633995353450916,0.1020147081449259,1.3584319121532746,0.6996058334955301,0.9471146033237874,0.0684208240030429,1.0562970834766596,0.2007212945094365,0.0651376960131544,0.0035214961971405,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0239569971869535,0,0,0,6,0.3543504115992326,0.0,1.3543504115992326,0.215
4,0.1904441101732275,2.250614134540688,-0.8671422357188534,0.6799041149863232,0.1497310636244049,0.0419724228056399,5.315535317454688,-0.3551470423347536,0.4856672225700073,0.6810813175155896,0.880312655362145,6.174129284276141,0.6533709927559296,0.0278046417438214,0.3839252946442566,0.7836662784312163,0.4432409714611627,0.0243519340947829,0.0031741565799339,0.0,0.0,0.0,0.0020645947655804,0.0,0,0.0,0.0345581541959691,0,0,0,6,0.3550954558212676,0.0,1.3543504115992326,0.215
5,0.892816371026795,4.970245466061502,-0.5265054128918591,0.7066864440381518,0.0105183462893124,0.0284580776075838,1.696351907820151,0.8717967891122798,0.2969252277368692,0.9063652218936596,0.9451600288708404,4.845147730520634,0.4492045359548173,0.3167493207188792,0.9785638382172204,1.031573165056915,0.7184824325805845,0.1166501065911602,0.0048941089853033,0.0,0.0,0.0,0.0085810833020168,0.0,0,0.0909090909090909,0.0138597290009773,0,0,0,6,0.359608817836005,0.0,1.3543504115992326,0.215
6,0.0890371097900621,0.6404569756536653,-1.4380778268271426,0.4691207848502092,0.0297798362474356,0.2677048286440876,5.738185688083558,0.8869656707032068,0.0681069019952407,0.8845565653301796,0.6483888886766114,0.2175203636937059,0.0689890006855341,0.3174548613106837,0.2305299818922566,1.855616092230191,0.1965366913245816,0.1143794517684185,0.004583965906016,0.0,0.0,0.0,0.0034048744096475,0.0,0,0.0,0.0647606481101032,0,0,0,6,0.3569509130893971,0.0,1.3543504115992326,0.215
7,0.5495558239930849,0.7817255605188053,1.193867485434306,0.394602813850315,0.0559116736996828,0.194130058677864,5.4243712694224095,0.8859587541076359,0.2439390281611657,0.0339250167353586,0.9512794798666104,4.578303640645426,0.3997798072077835,0.3489345668911524,0.510775548012691,0.6511607094565257,0.5048422611369747,0.0967161454572584,0.0038387702612202,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0540819994693479,0,0,0,6,0.3561224705570205,0.0,1.3543504115992326,0.215
8,0.9990663998290852,5.940067957699172,1.4203209281339195,0.5737859535839952,0.6661412447060678,0.7297756079454065,3.838801620670154,0.053864211512091,0.306725349422623,0.4451662588390382,0.1877868772386811,1.9450733859004523,0.4840079149540811,0.3113523736082332,0.570660794722832,1.948924102156381,1.424077209562431,0.1150091903729771,0.0020619464232165,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0550982838389715,0,0,0,6,0.3561822519905277,0.0,1.3543504115992326,0.215
9,0.3062565579344436,3.52419030840863,1.0353419887799284,0.0218079097514062,0.0614450623370999,0.5130970336895824,1.7533047803445805,0.1013777277785281,0.1248548425167587,0.7007982525903474,0.050216779996988,5.333205033393652,0.9257788287768246,0.5488173210644202,0.791914127518697,0.7552316507007599,1.388617667329776,0.0650809117846887,0.0040922778034022,0.0,0.0,0.0,0.0,0.0,0,0.0,0.007548287123932,0,0,0,6,0.3533851933602313,0.0,1.3533851933602312,0.216
10,0.925377660779712,1.33507864877853,-1.0827060070918366,0.096444499132939,0.5753828285212419,0.855890759464878,1.2539434922361554,-0.8440670951386058,0.1970134472301377,0.4706717430064747,0.3563247230018899,4.202338404849934,0.5750234434050905,0.381944576808899,0.7352901965760114,0.0696947679082991,0.9761044759038964,0.0749245156360108,0.0022714809726163,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0224040601229858,0,0,0,6,0.3542590623601756,0.0,1.3533851933602312,0.216
11,0.7146746797123654,0.9811254865236084,0.8379920766581552,0.0310314978090068,0.5891169176364073,0.895499637966218,4.180182921932344,1.50606675267549,0.319790940605091,0.8262739789186201,0.1908967505438185,6.263717032016963,0.3879961342636886,0.2441389561105723,0.7776484929677492,1.8237692538080057,1.7942528208947948,0.1159946648767907,0.0028415245608047,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0493059940872577,0,0,0,6,0.35584152906395633,0.0,1.3533851933602312,0.216
12,0.5378088282046333,1.2080034443381475,-0.3049868189688598,0.3991821308805717,0.419830958806086,0.3369305433509801,5.186617897404492,-0.8875591612729778,0.3909972048464573,0.4321377788343483,0.2820174947032792,1.0045068629619405,0.064997590041158,0.4871744782668253,0.2172634536936327,1.48919505489815,0.2815823066134852,0.099802836273383,0.0022188382932003,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3084279523097253,0,0,0,6,0.3710839971946897,0.0,1.3533851933602312,0.216
13,0.0790216098047268,5.77338717544482,-0.5203757790845243,0.0839258040837164,0.1574667561014399,0.0946915902952173,0.8271574498563115,-0.2953667643903559,0.7829504873087263,0.2106962896407123,0.3084170873399826,5.623226245862204,0.5947714997525682,0.7759142386988557,0.6468906243737312,1.1610878400884492,1.8947644853519172,0.0159727936859685,0.0025817081806384,0.0,0.0,0.0,0.0,0.0,0,0.0,0.108796256551121,0,0,0,6,0.359340956267713,0.0,1.3533851933602312,0.216
14,0.4995123192856002,3.4967055668707943,0.9173085480304252,0.0581888680972442,0.8640760808111007,0.5499396699592163,3.185323730626811,0.953608621102505,0.7063717671988808,0.868150784966628,0.978480941699586,1.5443753571269905,0.6333458057089553,0.5136147115132935,0.2634447363844137,0.7230512558037596,0.8114754571730229,0.117620136493384,0.0032884339147185,0.0,0.0,0.0,0.000649317912371,0.0,0,0.0,0.0288598533616508,0,0,0,6,0.35467701007494246,0.0,1.3533851933602312,0.216
15,0.0745999723860816,4.642441562250243,-0.3896609315636541,0.2114292471367246,0.0220490458382597,0.986840743612456,1.0548433288923242,1.2916936268890713,0.256807940831445,0.0394933191940797,0.9795511388086932,0.5405892669346907,0.3437305192928548,0.122005866159478,0.026848570581098,0.0628309165250771,0.2722026824420434,0.0913066403861441,0.0041358290565059,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0225251819729883,0,0,0,6,0.3542661871748817,0.0,1.3533851933602312,0.216
16,0.2750482694921637,4.428916768569498,1.4941587459526389,0.9978454372027232,0.1798709388609349,0.4077467122563643,3.926141929276909,-0.0315119612530678,0.3895180388400564,0.8914761955584635,0.4298734244069979,6.045748561306153,0.6476238195201046,0.5167422935219641,0.1662141670327861,1.3797731405695368,1.192191137137056,0.1022196585599825,0.0160342526234692,0.055009199160819,0.0,0.0,0.0012991954719484,0.0,0,0.0,0.4069267597283134,0,0,0,6,0.38019030319771063,0.0,1.3533851933602312,0.216
17,0.5374816944572027,5.936502895980541,-1.0603540079015763,0.2846208141416431,0.6072099256208876,0.5972786417402799,1.2160175063362444,-0.7172604004562596,0.0501217018750816,0.2917199900351868,0.6774233635869589,1.817736266236034,0.9861265328679512,0.58603646426051,0.4528997791528093,1.1766891777402055,0.1490452773180921,0.0568327179731557,0.0031086366518196,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0113090263421247,0,0,0,6,0.35360641331424264,0.0,1.3533851933602312,0.216
