# algorithm: SMPSO
# population_size: 100
# num_evaluations: 10000
# run_idx: 1
# alpha: 1.5
n,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,F0,F1,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,cv,hv,icmop,ecdf
1,0.7910576462523103,2.8319216723840737,-0.1991970803477518,0.4413797916779886,0.0096031062468943,-1.1064039979732985,324.1596527208908,-190.03037909221564,501.0016095752827,-66.02180494180163,0.4378705147021795,0.0259470751643292,0.2619205194962175,1.2047220800086065,0.074837443755648,0.0135705121081566,0.025635739592662,0.0,0.0,0.0,0.0,0.2339432184578863,0,0.3760330578512397,0.0794345710268875,0,0,1,6,0.45231828513741257,0.0,1.4523182851374126,0.183
2,0.3970647880566211,5.962566125568672,-1.5244002964563077,0.2248345632061457,4.42324949603033,-0.3127001825733964,2488.9588267026325,-108.38812233879656,2385.880580845653,1350.0778144995047,0.3096270641952553,0.7638282973786807,0.1368078638406908,2.609190524941889,1.4151274587327212,0.0306150545002525,0.0837354114967413,1.0,0.0,0.0,0.0,0.0,0,0.2989690721649484,0.0416097795271775,1,0,0,6,0.49062228539365443,0.0,1.4523182851374126,0.183
3,0.5410019429510567,6.101902371095432,0.6315463953143912,0.054316122943716,2.843903335639133,0.4233181758361553,-417.40138037894127,1564.8620365326606,-400.7183236159832,1865.340394893134,0.840345311011548,0.6927929928288539,0.6847393186731354,1.7944784474328077,0.8544295893397245,0.010924079903638,0.1682282845543646,1.0,0.0,0.0,0.0,1.0,0,0.8742424242424243,0.0,1,0,1,6,0.6396613190730838,0.0,1.4523182851374126,0.183
4,0.1694129787631486,0.6718652996648491,-1.5140959633653943,0.8479892757596954,0.8627470203625008,-0.1961976279652761,-459.551286533335,275.5781701208841,-304.3950402855098,-163.00058875558608,0.9633597164403824,0.2758767031896516,0.9055371830552824,2.720784669653356,0.1782801152876536,0.0127483639168353,0.0867555823273192,0.0810084032373531,0.0,0.0,0.0,0.8256808054129716,0,0.8744650499286734,0.0,0,0,0,6,0.4577149563869999,0.0,1.4523182851374126,0.183
5,0.7497618153921556,1.767631309905789,1.2501196147111775,0.8299019222358067,1.089464845784766,0.2792511353037741,2274.908493189327,-496.4309506197332,685.2417140583616,-372.1040235733516,0.7596272284506499,0.9399365861046188,0.2923344382265519,1.3991216037780467,0.1013403948343276,0.0227513951626773,0.0068932266915693,0.0,0.0,0.0,0.0,0.0447302790716403,0,0.447,0.067868975537154,0,0,0,6,0.38585877968287025,0.0,1.3858587796828703,0.205
6,0.8993333461605845,3.793423361361796,1.2721097211531285,0.1437983223099868,0.0392624176030233,1.2858838721967722,392.3295960633774,1327.4497459087256,1554.710871256373,641.9164010286104,0.9385531367568292,0.5605378424066932,0.3782194548068134,1.9072157598548864,0.799926762500115,0.0169722755242975,0.0328874936042566,0.2915176851903666,0.0,0.0,0.0,0.0,0,0.0,0.0829143923602593,1,0,0,6,0.4337901222088604,0.0,1.3858587796828703,0.205
7,0.0268026772812597,5.990787499288896,-0.1625839975679659,0.3110702623562458,5.33376592120576,-0.8415300689554832,144.00939595092234,1179.254077630608,2389.1363741514388,1642.1549844122096,0.0346287866701245,0.9775859048308402,0.5439109457716985,1.7603559962848978,1.168391676828182,0.0096087108896204,0.1054959115154349,1.0,0.0,0.0,0.0,0.2169176868684275,0,0.0,0.1222162970186543,1,0,0,6,0.49053729316982825,0.0,1.3858587796828703,0.205
8,0.8659570214081744,0.0682312424574582,0.424053257618852,0.680297470229376,4.913542063315822,1.0242923390605516,154.38737203350843,1254.2602086858096,-206.8814333316442,1389.8237702827062,0.6751282984102944,0.531247156964349,0.5380478702762429,2.2301962692641064,0.9650934853073908,0.0073694992767171,0.0499148922433033,0.0,0.0,0.0,0.0,0.5495723457910324,0,0.6612903225806451,0.0,0,0,0,6,0.4241683922571575,0.0,1.3858587796828703,0.205
9,0.961501112142321,4.26266151355855,0.4531683402736837,0.113584210069197,1.4798086078550614,0.8253137628179474,-324.2864977770876,1726.237950867197,-48.50167414426801,1541.190672581544,0.7434613388392266,0.2812698103480756,0.5214210623599477,2.100262558484629,0.7126267939060926,0.0086814358870224,0.0852458700861085,0.0,0.0,0.0,0.0,0.9460885813768408,0,0.6635160680529301,0.1295392254226868,0,0,0,6,0.4552437573442622,0.0,1.3858587796828703,0.205
10,0.0032167591032764,5.780460303551206,-0.4491668138611804,0.6375784049491736,5.526804862144422,-1.1164074620117137,971.9384810855416,1693.6405122555857,1915.810309218032,2453.35197441966,0.7977550474395455,0.3319545133431684,0.6605194130669515,2.993946044384709,1.1850076735526875,0.0232234879952328,0.0871779534554091,1.0,0.0,0.0,0.0,0.0196800790625689,0,0.3438661710037174,0.0616268977353507,1,0,0,6,0.49559842045891983,0.0,1.3858587796828703,0.205
